ID,Unnamed: 0,d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_mit_Standardkäfig,Kurzzeichen_Lager_Alternative_Standardkäfige,d.1,d1,D1,FE,r12_min,r34_min,s_max,da_min,da_max,db_min_Da_min,Da_max,ra_max,rb_max,kr,Kurzzeichen_Winkelring,Gewicht_kg.1,B1,B2
791,0,15,35,11,12.5,10.2,1.22,22000.0,26000,0.047, NU 202 ECP,PHA,15,-,27.7,19.3,0.6,0.3,1,17.4,18.4,21.0,31.3,0.6,0.3,0.15,-,-,-,-
792,1,15,35,11,12.5,10.2,1.22,22000.0,26000,0.048, NJ 202 ECP,PHA,15,21.9,27.7,19.3,0.6,0.3,1,18.2,18.4,23.0,31.3,0.6,-,0.15,-,-,-,-
793,2,17,40,12,20.0,14.3,1.73,20000.0,22000,0.066, N 203 ECP,PH,17,25,-,35.1,0.6,0.3,1,20.7,33,37.0,37.1,0.6,0.3,0.12,-,-,-,-
794,3,17,40,12,20.0,14.3,1.73,20000.0,22000,0.068, NU 203 ECP,PHA,17,-,32.35,22.1,0.6,0.3,1,19.9,21.1,24.0,36.0,0.6,0.3,0.15,-,-,-,-
795,4,17,40,12,20.0,14.3,1.73,20000.0,22000,0.069, NJ 203 ECP,PHA,17,25,32.35,22.1,0.6,0.6,1,20.7,21.1,27.0,36.0,0.6,-,0.15,-,-,-,-
796,5,17,40,12,20.0,14.3,1.73,20000.0,22000,0.072, NUP 203 ECP,PHA,17,25,32.35,22.1,0.6,0.3,-,20.7,-,27.0,36.0,0.6,-,0.15,-,-,-,-
797,6,17,40,16,27.5,21.6,2.65,20000.0,22000,0.087, NU 2203 ECP,-,17,-,32.35,22.1,0.6,0.3,1.5,19.9,21.1,24.0,36.0,0.6,0.3,0.2,-,-,-,-
798,7,17,40,16,27.5,21.6,2.65,20000.0,22000,0.093, NJ 2203 ECP,-,17,25,32.35,22.1,0.6,0.3,1.5,20.7,21.1,27.0,36.0,0.6,-,0.2,-,-,-,-
799,8,17,40,16,27.5,21.6,2.65,20000.0,22000,0.097, NUP 2203 ECP,-,17,25,32.35,22.1,0.6,0.3,-,20.7,-,27.0,36.0,0.6,-,0.2,-,-,-,-
800,9,17,47,14,28.5,20.4,2.55,17000.0,20000,0.12,N 303 ECP,-,17,27.7,-,40.2,1.0,0.6,1,22.1,38,42.0,42.7,1.0,0.6,0.12,-,-,-,-
801,10,17,47,14,28.5,20.4,2.55,17000.0,20000,0.12, NJ 303 ECP,-,17,27.7,36.75,24.2,1.0,0.6,1,22.1,23.1,29.0,41.7,1.0,-,0.15,-,-,-,-
802,11,17,47,14,28.5,20.4,2.55,17000.0,20000,0.12, NU 303 ECP,-,17,-,36.75,24.2,1.0,0.6,1,21.1,23.1,26.0,41.7,1.0,0.6,0.15,-,-,-,-
803,12,20,47,14,28.5,22.0,2.75,17000.0,19000,0.11, N 204 ECP,-,20,29.7,-,41.5,1.0,0.6,1,25.0,40,43.0,43.5,1.0,0.6,0.12,-,-,-,-
804,13,20,47,14,28.5,22.0,2.75,17000.0,19000,0.11, NJ 204 ECP,ML; PHA,20,29.7,38.44,26.5,1.0,0.6,1,25.0,25.4,31.0,41.7,1.0,-,0.15,-,-,-,-
805,14,20,47,14,28.5,22.0,2.75,17000.0,19000,0.11, NU 204 ECP,ML; PHA,20,-,38.44,26.5,1.0,0.6,1,24.0,25.4,28.0,41.7,1.0,0.6,0.15,-,-,-,-
806,15,20,47,14,28.5,22.0,2.75,17000.0,19000,0.12, NUP 204 ECP,ML; PHA,20,29.7,38.44,26.5,1.0,0.6,-,25.0,-,31.0,41.7,1.0,-,0.15,-,-,-,-
807,16,20,47,18,34.5,27.5,3.45,17000.0,19000,0.14, NJ 2204 ECP,-,20,29.7,38.3,26.5,1.0,0.6,2,25.0,25.4,31.0,41.7,1.0,-,0.2,-,-,-,-
808,17,20,47,18,34.5,27.5,3.45,17000.0,19000,0.14, NU 2204 ECP,-,20,-,38.3,26.5,1.0,0.6,2,24.0,25.4,28.0,41.7,1.0,0.6,0.2,-,-,-,-
809,18,20,52,15,35.5,26.0,3.25,15000.0,18000,0.14, NU 304 ECP,-,20,-,41.85,27.5,1.1,0.6,0.9,24.1,26.2,29.0,45.4,1.0,0.6,0.15,HJ 304 EC,0.017,4,6.5
810,19,20,52,15,35.5,26.0,3.25,15000.0,18000,0.15, N 304 ECP,-,20,31.2,-,45.5,1.1,0.6,0.9,26.1,44,47.0,48.0,1.0,0.6,0.12,-,-,-,-
811,20,20,52,15,35.5,26.0,3.25,15000.0,18000,0.15, NJ 304 ECP,-,20,31.2,41.85,27.5,1.1,0.6,0.9,26.1,26.2,33.0,45.4,1.0,-,0.15,HJ 304 EC,0.017,4,6.5
812,21,20,52,15,35.5,26.0,3.25,15000.0,18000,0.16, NUP 304 ECP,-,20,31.2,41.85,27.5,1.1,0.6,-,26.1,-,33.0,45.4,1.0,-,0.15,-,-,-,-
813,22,20,52,21,47.5,38.0,4.8,15000.0,18000,0.21, NU 2304 ECP,-,20,-,41.85,27.5,1.1,0.6,1.9,24.1,26.2,29.0,45.4,1.0,0.6,0.25,-,-,-,-
814,23,20,52,21,47.5,38.0,4.8,15000.0,18000,0.22, NJ 2304 ECP,-,20,31.2,41.85,27.5,1.1,0.6,1.9,26.1,26.2,33.0,45.4,1.0,-,0.25,-,-,-,-
815,24,20,52,21,47.5,38.0,4.8,15000.0,18000,0.22, NUP 2304 ECP,-,20,31.2,41.85,27.5,1.1,0.6,-,26.1,-,33.0,45.4,1.0,-,0.25,-,-,-,-
816,25,25,47,12,14.2,13.2,1.4,18000.0,18000,0.082, NU 1005,-,25,-,38.8,30.5,0.6,0.3,1.5,27.1,29.5,32.0,43.1,0.6,0.3,0.1,-,-,-,-
817,26,25,52,15,32.5,27.0,3.35,15000.0,16000,0.13, N 205 ECP,-,25,34.7,-,46.5,1.0,0.6,1.3,29.9,45,48.0,48.5,1.0,0.6,0.12,-,-,-,-
818,27,25,52,15,32.5,27.0,3.35,15000.0,16000,0.13, NU 205 ECP,J; ML; PH; PHA,25,-,43.3,31.5,1.0,0.6,1.3,28.9,30.4,33.0,46.4,1.0,0.6,0.15,HJ 205 EC,0.015,3,6
819,28,25,52,15,32.5,27.0,3.35,15000.0,16000,0.14, NJ 205 ECP,J; ML; PH; PHA,25,34.7,43.3,31.5,1.0,0.6,1.3,29.9,30.4,36.0,46.4,1.0,-,0.15,-,-,-,-
820,29,25,52,15,32.5,27.0,3.35,15000.0,16000,0.14, NUP 205 ECP,J; ML; PH; PHA,25,34.7,43.3,31.5,1.0,0.6,-,29.9,-,36.0,46.4,1.0,-,0.15,-,-,-,-
821,30,25,52,18,39.0,34.0,4.25,15000.0,16000,0.16, NU 2205 ECP,ML; PH,25,-,43.3,31.5,1.0,0.6,1.8,28.9,30.4,33.0,46.4,1.0,0.6,0.2,HJ 2205 EC,0.014,3,6.5
822,31,25,52,18,39.0,34.0,4.25,15000.0,16000,0.17, NJ 2205 ECP,ML; PH,25,34.7,43.3,31.5,1.0,0.6,1.8,29.9,30.4,36.0,46.4,1.0,-,0.2,HJ 2205 EC,0.014,3,6.5
823,32,25,52,18,39.0,34.0,4.25,15000.0,16000,0.17, NUP 2205 ECP,ML; PH,25,34.7,43.3,31.5,1.0,0.6,-,29.9,-,36.0,46.4,1.0,-,0.2,-,-,-,-
824,33,25,62,17,46.5,36.5,4.55,12000.0,15000,0.23, N 305 ECP,-,25,38.1,-,54.0,1.1,1.1,1.3,31.0,52,56.0,56.4,1.0,1,0.12,-,-,-,-
825,34,25,62,17,46.5,36.5,4.55,12000.0,15000,0.23, NU 305 ECP,J; ML,25,-,50.15,34.0,1.1,1.1,1.3,31.0,32.5,36.0,54.9,1.0,1,0.15,HJ 305 EC,0.025,4,7
