ID,d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_offen_oder_beidseitig_abgedichtet,Kurzzeichen_einseitig_abgedichtet,d.1,d1,d2,D1,D2,r12_min,da_min,da_max,Da_max,ra_max,kr,f0
0,3,10,4.0,0.54,0.18,0.007,130000,80000,0.0015,623,-,3,5.2,-,-,8.2,0.15,4.2,-,8.8,0.1,0.025,7.5,
1,3,10,4.0,0.54,0.18,0.007,-,40000,0.0015,623-2RS1,623-RS1,3,5.2,-,-,8.2,0.15,4.2,5.1,8.8,0.1,0.025,7.5,
2,3,10,4.0,0.54,0.18,0.007,130000,60000,0.0015,623-2Z,623-Z,3,5.2,-,-,8.2,0.15,4.2,5.1,8.8,0.1,0.025,7.5,
3,4,9,2.5,0.423,0.116,0.005,140000,85000,0.0007,618/4,-,4,5.2,-,7.5,-,0.1,4.6,-,8.4,0.1,0.015,6.5,
4,4,9,3.5,0.54,0.18,0.07,140000,70000,0.001,628/4-2Z,-,4,5.2,-,-,8.1,0.1,4.6,5.1,8.4,0.1,0.015,10.0,
5,4,9,4.0,0.54,0.18,0.07,140000,70000,0.0013,638/4-2Z,-,4,5.2,-,-,8.1,0.1,4.6,5.1,8.4,0.1,0.015,10.0,
6,4,11,4.0,0.624,0.18,0.008,130000,63000,0.0017,619/4-2Z,-,4,6.1,-,-,9.9,0.15,4.8,5.8,10.2,0.1,0.02,6.4,
7,4,11,4.0,0.624,0.18,0.008,130000,80000,0.0017,619/4,-,4,6.1,-,-,9.9,0.15,4.8,-,10.2,0.1,0.02,6.4,
8,4,12,4.0,0.806,0.28,0.012,120000,75000,0.0021,604,-,4,6.1,-,-,9.8,0.2,5.4,-,10.6,0.2,0.025,10.0,
9,4,12,4.0,0.806,0.28,0.012,120000,60000,0.0021,604-2Z,604-Z,4,6.1,-,-,9.8,0.2,5.4,6,10.6,0.2,0.025,10.0,
10,4,13,5.0,0.936,0.29,0.012,110000,67000,0.0031,624,-,4,6.7,-,-,11.2,0.2,5.8,-,11.2,0.2,0.025,10.0,
11,4,13,5.0,0.936,0.29,0.012,110000,53000,0.0031,624-2Z,624-Z,4,6.7,-,-,11.2,0.2,5.8,6.6,11.2,0.2,0.025,7.3,
12,4,16,5.0,1.11,0.38,0.016,95000,60000,0.0054,634,-,4,8.4,-,-,13.3,0.3,6.4,-,13.6,0.3,0.03,8.4,
