d,D,B,C,C_dynamisch,C0_statisch,Pu,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,d1,D3,C1,C2,b,b1,K,r_min,r34_min,da_min,das,Ca1,Ca2,ra_max,kr,passende_Sicherungsringe_Sprengring,passende_Sicherungsringe_DIN471
20,42,30,29,45.7,55.0,5.7,3400,0.2, NNF 5004 ADB-2LSV,20,30.6,40.2,24.7,2.15,1.8,6.5,3.5,0.5,0.3,24,28.8,21.5,21,0.3,0.4,SW 42,42x1.75
25,47,30,29,50.1,65.5,6.8,3000,0.24, NNF 5005 ADB-2LSV,25,35.4,45.2,24.7,2.15,1.8,6.5,3.5,0.5,0.3,29,33.6,21.5,21,0.3,0.4,SW 47,47x1.75
30,55,34,33,57.2,75.0,7.8,2600,0.37, NNF 5006 ADB-2LSV,30,40.6,53.0,28.2,2.4,2.1,7.5,4.5,0.5,0.3,34,38.7,25.0,24,0.3,0.4,SW 55,55x2
35,62,36,35,70.4,98.0,10.6,2200,0.48, NNF 5007 ADB-2LSV,35,46.1,60.0,30.2,2.4,2.1,7.5,4.5,0.5,0.3,39,44.0,27.0,26,0.3,0.4,SW 62,62x2
40,68,38,37,85.8,116.0,13.2,2000,0.56, NNF 5008 ADB-2LSV,40,51.4,65.8,32.2,2.4,2.7,7.5,4.5,0.8,0.6,44,49.2,28.0,27,0.4,0.4,SW 68,68x2.5
45,75,40,39,102.0,146.0,17.0,1800,0.7, NNF 5009 ADB-2LSV,45,57.0,72.8,34.2,2.4,2.7,8.5,4.5,0.8,0.6,49,54.7,30.0,29,0.4,0.4,SW 75,75x2.5
50,80,40,39,108.0,160.0,18.6,1700,0.76, NNF 5010 ADB-2LSV,50,61.8,77.8,34.2,2.4,2.7,8.5,4.5,0.8,0.6,54,59.5,30.0,29,0.4,0.4,SW 80,80x2.5
55,90,46,45,128.0,193.0,22.8,1500,1.2, NNF 5011 ADB-2LSV,55,68.6,87.4,40.2,2.4,3.2,8.5,4.5,1.0,0.6,60,66.1,35.0,34,0.6,0.4,SW 90,90x3
60,95,46,45,134.0,208.0,25.0,1400,1.25, NNF 5012 ADB-2LSV,60,73.7,92.4,40.2,2.4,3.2,9.5,5.0,1.0,0.6,65,71.2,35.0,34,0.6,0.4,SW 95,95x3
65,100,46,45,138.0,224.0,26.5,1300,1.35, NNF 5013 ADB-2LSV,65,78.8,97.4,40.2,2.4,3.2,9.5,5.0,1.0,0.6,70,76.3,35.0,34,0.6,0.4,SW 100,100x3
70,110,54,53,187.0,285.0,34.5,1200,1.85, NNF 5014 ADB-2LSV,70,84.5,107.1,48.2,2.4,4.2,9.5,5.0,1.0,0.6,75,82.0,43.0,40,0.6,0.4,SW 110,110x4
75,115,54,53,224.0,310.0,40.0,1100,1.95, NNF 5015 ADB-2LSV,75,90.0,112.1,48.2,2.4,4.2,9.5,5.0,1.0,0.6,80,87.0,43.0,40,0.6,0.4,SW 115,115x4
80,125,60,59,251.0,415.0,53.0,1000,2.7, NNF 5016 B-2LS,80,97.0,122.1,54.2,2.4,4.2,6.0,3.5,1.5,0.6,86,94.3,49.0,46,1.0,0.4,SW 125,125x4
85,130,60,59,270.0,430.0,55.0,1000,2.85, NNF 5017 B-2LS,85,101.0,127.1,54.2,2.4,4.2,6.0,3.5,1.5,0.6,91,100.0,49.0,46,1.0,0.4,SW 130,130x4
90,140,67,66,319.0,550.0,69.5,900,3.7, NNF 5018 B-2LS,90,109.0,137.0,59.2,3.4,4.2,6.0,3.5,1.5,0.6,96,106.0,54.0,51,1.0,0.4,SW 140,140x4
95,145,67,66,330.0,570.0,71.0,900,3.9,NNF 5019 B-2LS,95,113.0,142.0,59.2,3.4,4.2,6.0,3.5,1.5,0.6,101,110.0,54.0,51,1.0,0.4,SW 145,145x4
100,150,67,66,336.0,570.0,68.0,850,3.95, NNF 5020 B-2LS,100,118.0,147.0,59.2,3.4,4.2,6.0,3.5,1.5,0.6,106,115.0,54.0,51,1.0,0.4,SW 150,150x4
110,170,80,79,413.0,695.0,81.5,750,6.45, NNF 5022 B-2LS,110,132.0,167.0,70.2,4.4,4.2,6.0,3.5,1.8,0.6,117,128.0,65.0,62,1.5,0.4,SW 170,170x4
120,180,80,79,429.0,750.0,86.5,700,6.9, NNF 5024 B-2LS,120,141.0,176.0,71.2,3.9,4.2,6.0,3.5,1.8,0.6,127,138.0,65.0,63,1.5,0.4,SW 180,180x4
130,190,80,79,446.0,815.0,91.5,670,7.3,319426 B-2LS,130,151.0,186.0,71.2,3.9,4.2,6.0,3.5,1.8,0.6,137,147.0,65.0,63,1.5,0.4,SW 190,190x4
130,200,95,94,616.0,1040.0,120.0,630,10.5, NNF 5026 B-2LS,130,155.0,196.0,83.2,5.4,4.2,7.0,4.0,1.8,0.6,137,150.0,77.0,75,1.5,0.4,SW 200,200x4
140,200,80,79,468.0,865.0,96.5,630,8.0,319428 DA-2LS,140,160.0,196.0,71.2,3.9,4.2,7.0,4.0,1.8,0.6,147,156.0,65.0,63,1.0,0.4,SW 200,200x4
140,210,95,94,644.0,1120.0,127.0,600,11.0, NNF 5028 B-2LS,140,167.0,206.0,83.2,5.4,5.2,7.0,4.0,1.8,0.6,147,162.0,77.0,73,1.5,0.4,SW 210,210x5
150,210,80,79,484.0,915.0,100.0,600,8.4,319430 B-2LS,150,170.0,206.0,71.2,3.9,5.2,7.0,4.0,1.8,0.6,157,166.0,65.0,61,1.5,0.4,SW 210,210x5
150,225,100,99,748.0,1290.0,143.0,560,13.5, NNF 5030 B-2LS,150,177.0,221.0,87.2,5.9,5.2,7.0,4.0,2.0,0.6,157,172.0,81.0,77,2.0,0.4,SW 225,225x5
160,220,80,79,501.0,1000.0,106.0,530,8.8,319432 DA-2LS,160,184.0,216.0,71.2,3.9,5.2,7.0,4.0,1.8,0.6,167,180.0,65.0,61,1.0,0.4,SW 220,220x5
160,240,109,108,781.0,1400.0,153.0,500,16.5,NNF 5032 B-2LS,160,191.0,236.0,95.2,6.4,5.2,7.0,4.0,2.0,0.6,167,186.0,89.0,85,2.0,0.4,SW 240,240x5
170,230,80,79,512.0,1060.0,110.0,530,9.2,319434 B-2LS,170,194.0,226.0,71.2,3.9,5.2,7.0,4.0,1.8,0.6,177,190.0,65.0,61,1.5,0.4,SW 230,230x5
170,260,122,121,1010.0,1800.0,193.0,480,22.5, NNF 5034 B-2LS,170,203.0,254.0,107.2,6.9,5.2,7.0,4.0,2.0,0.6,177,197.0,99.0,97,2.0,0.4,SW 260,260x5
180,240,80,79,528.0,1100.0,114.0,480,9.8,319436 DA-2LS,180,203.0,236.0,71.2,3.9,5.2,7.0,4.0,1.8,0.6,187,199.0,65.0,61,1.0,0.4,SW 240,240x5
180,280,136,135,1170.0,2120.0,228.0,450,31.0,NNF 5036 B-2LS,180,220.0,274.0,118.2,8.4,5.2,8.0,4.0,2.0,0.6,187,214.0,110.0,108,2.0,0.4,SW 280,280x5
190,260,80,79,550.0,1180.0,120.0,450,12.5,319438 DA-2LS,190,218.0,254.0,73.2,2.9,5.2,7.0,4.0,1.8,0.6,197,214.0,65.0,63,1.0,0.4,SW 260,260x5
190,290,136,135,1190.0,2200.0,236.0,430,31.5,NNF 5038 B-2LS,190,228.0,284.0,118.2,8.4,5.2,8.0,4.0,2.0,0.6,197,222.0,110.0,108,2.0,0.4,SW 290,290x5
200,270,80,79,583.0,1370.0,137.0,430,13.0,319440 B-2LS,200,227.0,264.0,73.2,2.9,5.2,7.0,4.0,1.8,0.6,207,223.0,65.0,63,1.5,0.4,SW 270,270x5
200,310,150,149,1450.0,2900.0,300.0,400,42.0,NNF 5040 B-2LS,200,245.0,304.0,128.2,10.4,6.3,8.0,4.0,2.0,0.6,207,239.0,120.0,116,2.0,0.4,SW 310,310x6
220,300,95,94,880.0,1860.0,190.0,380,19.0,319444 B-2LS,220,250.0,295.0,83.2,5.4,5.2,8.0,6.0,1.8,1.0,227,246.0,75.0,73,1.5,0.4,SW 300,300x5
220,340,160,159,1610.0,3100.0,315.0,360,54.0,NNF 5044 B-2LS,220,263.0,334.0,138.2,10.4,6.3,9.5,6.0,2.0,1.0,227,256.0,130.0,126,2.0,0.4,SW 340,340x6
240,320,95,94,952.0,2040.0,200.0,360,20.0,319448 B-2LS,240,269.0,314.0,83.2,5.4,6.3,8.0,6.0,1.8,1.0,247,265.0,75.0,71,1.5,0.4,SW 320,320x6
240,360,160,159,1680.0,3350.0,335.0,340,57.5,NNF 5048 B-2LS,240,282.0,354.0,138.2,10.4,6.3,9.5,6.0,2.0,1.0,247,275.0,130.0,126,2.0,0.4,SW 360,360x6
260,340,95,94,990.0,2160.0,212.0,340,22.0,319452 B-2LS,260,291.0,334.0,83.2,5.4,6.3,8.0,6.0,1.8,1.0,267,286.0,75.0,71,1.5,0.4,SW 340,340x6
260,400,190,189,2420.0,4650.0,455.0,300,86.0,NNF 5052 B-2LS,260,309.0,394.0,162.2,13.4,6.3,9.5,6.0,2.0,1.1,268,300.0,154.0,150,2.0,0.4,SW 400,400x6
280,420,190,189,2550.0,5000.0,490.0,280,91.0,NNF 5056 B-2LS,280,333.0,413.0,163.2,12.9,7.3,9.5,6.0,2.0,1.1,288,324.0,154.0,149,2.0,0.4,SW 420,420x7
