d,D,Dw,Ea_min,Eb_max,K,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_g,Kurzzeichen,d,d1,D,D1,B,r12,Gewicht_Scheiben_LS_WS_GS,Gewicht_AS,Kurzzeichen_Universal_Lagerscheibe,Kurzzeichen_Axialscheibe,Kurzzeichen_Wellenscheibe,Kurzzeichen_Gehäusescheibe
4,14,2,5,13,4.15,8.3,0.95,7500,15000,0.7,AXK 0414 TN,4,-,14,-,-,-,-,1,-,AS 0414,-,-
5,15,2,6,14,4.5,9.5,1.08,6700,14000,0.8,AXK 0515 TN,5,-,15,-,-,-,-,1,-,AS 0515,-,-
6,19,2,7,18,6.3,16.0,1.86,6000,12000,1.0,AXK 0619 TN,6,-,19,-,2.75,0.3,6,2,LS 0619,AS 0619,-,-
8,21,2,9,20,7.2,20.0,2.32,5600,11000,2.0,AXK 0821 TN,8,-,21,-,2.75,0.3,6,2,LS 0821,AS 0821,-,-
10,24,2,12,23,8.5,26.0,3.0,5300,10000,3.0,AXK 1024,10,-,24,-,2.75,0.3,8,3,LS 1024,AS 1024,-,-
12,26,2,14,25,9.15,30.0,3.45,5000,10000,3.0,AXK 1226,12,-,26,-,2.75,0.3,9,3,LS 1226,AS 1226,-,-
15,28,2,17,27,10.4,37.5,4.3,4800,9500,4.0,AXK 1528,15,28,28,16,2.75,0.3,9,3,LS 1528,AS 1528,WS 81102,GS 81102
17,30,2,19,29,11.0,40.5,4.75,4500,9500,3.65,AXK 1730,17,30,30,18,2.75,0.3,9,4,LS 1730,AS 1730,WS 81103,GS 81103
20,35,2,22,34,12.0,47.5,5.6,4300,8500,5.0,AXK 2035,20,35,35,21,2.75,0.3,13,5,LS 2035,AS 2035,WS 81104,GS 81104
25,42,2,29,41,13.4,60.0,6.95,3800,7500,7.0,AXK 2542,25,42,42,26,3,0.6,19,7,LS 2542,AS 2542,WS 81105,GS 81105
30,47,2,34,46,15.0,72.0,8.3,3600,7000,8.0,AXK 3047,30,47,47,32,3,0.6,22,8,LS 3047,AS 3047,WS 81106,GS 81106
35,52,2,39,51,16.6,83.0,9.8,3200,6300,10.0,AXK 3552,35,52,52,37,3.5,0.6,29,9,LS 3552,AS 3552,WS 81107,GS 81107
40,60,3,45,58,25.0,114.0,13.7,2800,5600,16.0,AXK 4060,40,60,60,42,3.5,0.6,40,12,LS 4060,AS 4060,WS 81108,GS 81108
45,65,3,50,63,27.0,127.0,15.3,2600,5300,18.0,AXK 4565,45,65,65,47,4,0.6,50,13,LS 4565,AS 4565,WS 81109,GS 81109
50,70,3,55,68,28.5,143.0,17.0,2400,5000,20.0,AXK 5070,50,70,70,52,4,0.6,55,14,LS 5070,AS 5070,WS 81110,GS 81110
55,78,3,60,76,34.5,186.0,22.4,2200,4300,28.0,AXK 5578,55,78,78,57,5,0.6,88,18,LS 5578,AS 5578,WS 81111,GS 81111
60,85,3,65,83,37.5,232.0,28.5,2200,4300,33.0,AXK 6085,60,85,85,62,4.75,1,97,22,LS 6085,AS 6085,WS 81112,GS 81112
65,90,3,70,88,39.0,255.0,31.0,2000,4000,35.0,AXK 6590,65,90,90,67,5.25,1,115,24,LS 6590,AS 6590,WS 81113,GS 81113
70,95,4,74,93,49.0,255.0,31.0,1800,3600,60.0,AXK 7095,70,95,95,72,5.25,1,123,25,LS 7095,AS 7095,WS 81114,GS 81114
75,100,4,79,98,50.0,265.0,32.5,1700,3400,61.0,AXK 75100,75,100,100,77,5.75,1,142,27,LS 75100,AS 75100,WS 81115,GS 81115
80,105,4,84,103,51.0,280.0,34.0,1700,3400,63.0,AXK 80105,80,105,105,82,5.75,1,151,28,LS 80105,AS 80105,WS 81116,GS 81116
85,110,4,89,108,52.0,290.0,35.5,1700,3400,67.0,AXK 85110,85,110,110,87,5.75,1,159,29,LS 85110,AS 85110,WS 81117,GS 81117
90,120,4,94,118,65.5,405.0,49.0,1500,3000,86.0,AXK 90120,90,120,120,92,6.5,1,234,39,LS 90120,AS 90120,WS 81118,GS 81118
100,135,4,105,133,76.5,560.0,65.5,1400,2800,104.0,AXK 100135,100,135,135,102,7,1,350,50,LS 100135,AS 100135,WS 81120,GS 81120
110,145,4,115,143,81.5,620.0,72.0,1300,2600,122.0,AXK 110145,110,145,145,112,7,1,385,55,LS 110145,AS 110145,WS 81122,GS 81122
120,155,4,125,153,86.5,680.0,76.5,1300,2600,131.0,AXK 120155,120,155,155,122,7,1,415,59,LS 120155,AS 120155,WS 81124,GS 81124
130,170,5,136,167,112.0,830.0,93.0,1100,2200,205.0,AXK 130170,130,170,170,132,9,1,663,65,LS 130170,AS 130170,WS 81126,GS 81126
140,180,5,146,177,116.0,900.0,96.5,1000,2000,219.0,AXK 140180,140,178,180,142,9.5,1,749,79,LS 140180,AS 140180,WS 81128,GS 81128
150,190,5,156,187,120.0,950.0,102.0,1000,2000,232.0,AXK 150190,150,188,190,152,9.5,1,796,84,LS 150190,AS 150190,WS 81130,GS 81130
160,200,5,166,197,125.0,1000.0,106.0,950,1900,246.0,AXK 160200,160,198,200,162,9.5,1,842,89,LS 160200,AS 160200,WS 81132,GS 81132
