d,D,H,Ea,Eb,C,C0,Pu,Minimallastfaktor_A,Referenzdrehzal,Grenzdrehzahl,Gewicht_kh,Kurzzeichen,d,d1,D1,B,Dw,r12,da_min,Da_max,ra_max,Kurzzeichen_Axial_Zylinderrollenkranz,Kurzzeichen_wellenscheibe,Kurzzeichen_Gehäusescheibe,Kurzzeichen_Universal_Lagerscheibe
15,28,9,16,27,11.2,27.0,2.45,5.8e-05,4300,8500,0.024,81102 TN,15,28,16,2.75,3.5,0.3,27,16,0.3,K 81102 TN,WS 81102,GS 81102,LS 1528
17,30,9,18,29,12.2,31.5,2.85,7.9e-05,4300,8500,0.027,81103 TN,17,30,18,2.75,3.5,0.3,29,18,0.3,K 81103 TN,WS 81103,GS 81103,LS 1730
20,35,10,21,34,18.6,48.0,4.65,0.00018,3800,7500,0.037,81104 TN,20,35,21,2.75,4.5,0.3,34,21,0.3,K 81104 TN,WS 81104,GS 81104,LS 2035
25,42,11,26,41,25.0,69.5,6.8,0.00039,3200,6300,0.053,81105 TN,25,42,26,3.0,5.0,0.6,41,26,0.6,K 81105 TN,WS 81105,GS 81105,LS 2542
30,47,11,31,46,27.0,78.0,7.65,0.00049,3000,6000,0.057,81106 TN,30,47,32,3.0,5.0,0.6,46,31,0.6,K 81106 TN,WS 81106,GS 81106,LS 3047
30,52,16,31,50,50.0,134.0,13.4,0.0014,2400,4800,0.12,81206 TN,30,52,32,4.25,7.5,0.6,50,31,0.6,K 81206 TN,WS 81206,GS 81206,-
35,52,12,36,51,29.0,93.0,9.15,0.00069,2800,5600,0.073,81107 TN,35,52,37,3.5,5.0,0.6,51,36,0.6,K 81107 TN,WS 81107,GS 81107,LS 3552
35,62,18,39,58,62.0,190.0,19.3,0.0029,2000,4000,0.21,81207 TN,35,62,37,5.25,7.5,1.0,58,39,1.0,K 81207 TN,WS 81207,GS 81207,-
40,60,13,42,58,43.0,137.0,13.7,0.0015,2400,5000,0.11,81108 TN,40,60,42,3.5,6.0,0.6,58,42,0.6,K 81108 TN,WS 81108,GS 81108,LS 4060
40,68,19,43,66,83.0,255.0,26.5,0.0052,1900,3800,0.25,81208 TN,40,68,42,5.0,9.0,1.0,66,43,1.0,K 81208 TN,WS 81208,GS 81208,-
40,78,22,44,77,95.0,365.0,36.5,0.011,2000,4000,0.48,89308 TN,40,78,42,7.5,7.0,1.0,77,44,1.0,K 89308 TN,WS 89308,GS 89308,-
45,65,14,47,63,45.0,153.0,15.3,0.0019,2200,4500,0.13,81109 TN,45,65,47,4.0,6.0,0.6,63,47,0.6,K 81109 TN,WS 81109,GS 81109,LS 4565
45,73,20,48,70,83.0,255.0,26.5,0.0052,1800,3600,0.29,81209 TN,45,73,47,5.5,9.0,1.0,70,48,1.0,K 81209 TN,WS 81209,GS 81209,-
50,70,14,52,68,47.5,166.0,16.6,0.0022,2200,4300,0.14,81110 TN,50,70,52,4.0,6.0,0.6,68,52,0.6,K 81110 TN,WS 81110,GS 81110,LS 5070
50,78,22,53,75,91.5,300.0,31.0,0.0072,1700,3400,0.36,81210 TN,50,78,52,6.5,9.0,1.0,75,53,1.0,K 81210 TN,WS 81210,GS 81210,-
55,78,16,57,77,69.5,285.0,29.0,0.0065,1900,3800,0.23,81111 TN,55,78,57,5.0,6.0,0.6,77,56,0.6,K 81111 TN,WS 81111,GS 81111,LS 5578
55,90,25,59,85,122.0,390.0,40.0,0.012,1400,2800,0.57,81211 TN,55,90,57,7.0,11.0,1.0,85,59,1.0,K 81211 TN,WS 81211,GS 81211,-
60,85,17,62,82,80.0,300.0,30.5,0.0072,1800,3600,0.27,81112 TN,60,85,62,4.75,7.5,1.0,82,62,1.0,K 81112 TN,WS 81112,GS 81112,LS 6085
60,95,26,64,91,137.0,465.0,47.5,0.017,1400,2800,0.65,81212 TN,60,95,62,7.5,11.0,1.0,91,64,1.0,K 81212 TN,WS 81212,GS 81212,-
60,110,30,66,108,153.0,640.0,65.5,0.033,1400,2800,1.25,89312 TN,60,110,62,10.5,9.0,1.1,108,67,1.1,K 89312 TN,WS 89312,GS 89312,-
65,90,18,67,87,83.0,320.0,32.5,0.0082,1700,3400,0.31,81113 TN,65,90,67,5.25,7.5,1.0,87,67,1.0,K 81113 TN,WS 81113,GS 81113,LS 6590
