d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_mit_zylindrischer_Bohrung,Kurzzeichen_Lager_mit_kegeliger_Bohrung,d,d2,D1,r12,s1_max,s2_max,da_min,da_max,Da_min,Da_max,Ca_min,ra_max,k1,k2
30,55,45,134.0,180.0,21.2,-,3200,0.49,C 6006 V,-,30,38.5,47.3,1.0,7.9,4.9,34.6,43,-,50.4,-,1.0,0.102,0.096
30,62,20,69.5,62.0,7.2,11000,15000,0.28,C 2206 TN9,C 2206 KTN9,30,37.4,53.1,1.0,4.5,-,35.6,37.4,50.6,56.4,0.3,1.0,0.101,0.111
30,62,20,76.5,71.0,8.3,-,6000,0.29,C 2206 V,-,30,37.4,53.1,1.0,4.5,1.5,35.6,49,-,56.4,-,1.0,0.101,0.111
35,72,23,83.0,80.0,9.3,9500,13000,0.44,C 2207 TN9,C 2207 KTN9,35,44.8,60.7,1.1,5.7,-,42,44.8,58.5,65.0,0.1,1.0,0.094,0.121
35,72,23,95.0,96.0,11.2,-,5300,0.46,C 2207 V,-,35,44.8,60.7,1.1,5.7,2.7,42,57,-,65.0,-,1.0,0.094,0.121
40,62,22,76.5,100.0,11.8,-,4300,0.25,C 4908 V,-,40,46.1,55.3,0.6,4.7,1.7,43.2,52,-,58.8,-,0.6,0.099,0.114
40,80,23,90.0,86.5,10.2,8000,11000,0.51,C 2208 TN9,C 2208 KTN9,40,52.4,69.9,1.1,7.1,-,47,52.4,67.1,73.0,0.3,1.0,0.093,0.128
40,80,23,102.0,104.0,12.2,-,4500,0.53,C 2208 V,-,40,52.4,69.9,1.1,7.1,4.1,47,66,-,73.0,-,1.0,0.093,0.128
45,68,40,132.0,200.0,23.6,-,2600,0.53,C 6909 V,-,45,52.0,59.5,0.6,9.4,6.4,48.2,55,-,64.8,-,0.6,0.091,0.113
45,85,23,93.0,93.0,10.8,7500,11000,0.56,C 2209 TN9,C 2209 KTN9,45,55.6,73.1,1.1,7.1,-,52,55.6,70.4,78.0,0.3,1.0,0.095,0.128
45,85,23,106.0,110.0,12.9,-,4300,0.58,C 2209 V,-,45,55.6,73.1,1.1,7.1,4.1,52,69,-,78.0,-,1.0,0.095,0.128
50,72,22,86.5,125.0,14.6,-,3600,0.29,C 4910 V,-,50,56.9,66.1,0.6,4.7,1.7,53.2,62,-,68.8,-,0.6,0.103,0.114
50,72,40,140.0,224.0,26.0,-,2400,0.54,C 6910 V,-,50,57.5,65.0,0.6,9.4,6.4,53.2,61,-,68.8,-,0.6,0.093,0.113
50,80,30,116.0,140.0,16.3,5600,7500,0.55,C 4010 TN9,-,50,57.6,70.8,1.0,6,-,54.6,57.6,69.7,75.4,0.1,1.0,0.103,0.107
50,80,30,137.0,176.0,20.8,-,3000,0.58,C 4010 V,-,50,57.6,70.8,1.0,6,3,54.6,67,-,75.4,-,1.0,0.103,0.107
50,90,23,98.0,100.0,11.8,7000,9500,0.6,C 2210 TN9,C 2210 KTN9,50,61.9,79.4,1.1,7.1,-,57,61.9,76.7,83.0,-0.8,1.0,0.097,0.128
50,90,23,114.0,122.0,14.3,-,3800,0.63,C 2210 V,-,50,61.9,79.4,1.1,7.1,3.9,57,73,-,83.0,-,1.0,0.097,0.128
