d1,D,B,B2,Gewicht_Lager_und_Hülse_kg,Kurzzeichen_Lager,Kurzzeichen_Abziehhülse
35,80,23,32,0.59,C 2208 KTN9,AH 308
40,85,23,34,0.67,C 2209 KTN9,AH 309
45,90,23,38,0.72,C 2210 KTN9,AHX 310
50,100,25,40,0.95,C 2211 KTN9,AHX 311
50,100,25,40,0.97,C 2211 KV,AHX 311
55,110,28,43,1.3,C 2212 KTN9,AHX 312
55,110,28,43,1.35,C 2212 KV,AHX 312
60,120,31,45,1.6,C 2213 KTN9,AH 313 G
60,120,31,45,1.7,C 2213 KV,AH 313 G
65,125,31,47,1.7,C 2214 KTN9,AH 314 G
65,150,51,68,4.65,C 2314 K,AHX 2314 G
70,130,31,49,1.9,C 2215 K,AH 315 G
70,130,31,49,1.95,C 2215 KV,AH 315 G
70,160,55,72,5.65,C 2315 K,AHX 2315 G
75,140,33,52,2.35,C 2216 K,AH 316
75,140,33,52,2.45,C 2216 KV,AH 316
75,170,58,75,6.75,C 2316 K,AHX 2316
80,150,36,56,3,C 2217 K,AHX 317
80,180,60,78,7.9,C 2317 K,AHX 2317
85,160,40,57,3.75,C 2218 K,AHX 318
85,190,64,83,9,C 2318 K,AHX 2318
90,200,67,89,11,C 2319 K,AHX 2319
95,180,46,63,5.3,C 2220 K,AHX 320
95,215,73,94,13.5,C 2320 K,AHX 2320
105,200,53,72,7.65,C 2222 K,AHX 3122
115,180,60,82,5.65,C 4024 K30V/VE240,AH 24024
115,180,60,82,6.2,C 4024 K30V,AH 24024
115,215,76,94,13,C 3224 K,AHX 3224 G
125,200,69,93,8.7,C 4026 K30,AH 24026
125,200,69,93,8.9,C 4026 K30V,AH 24026
125,230,64,82,12,C 2226 K,AHX 3126
125,280,93,119,29,C 2326 K/VE240,AHX 2326 G
135,210,69,93,9.5,C 4028 K30V,AH 24028
135,250,68,88,15.5,C 2228 K,AHX 3128
145,225,56,77,8.9,C 3030 KV,AHX 3030
145,225,75,101,11.5,C 4030 K30V,AH 24030
145,250,80,101,16.5,C 3130 K,AHX 3130 G
