d1,D,B,da_max,db_min,Ba_min,Gewicht_Lager_Hülse_kg,Kurzzeichen_Lager,Kurzzeichen_Spannhülse
25,62,20,37.4,33,5,0.37,C 2206 KTN9,H 306 E
30,72,23,44.8,39,5,0.59,C 2207 KTN9,H 307 E
35,80,23,52.4,44,5,0.69,C 2208 KTN9,H 308 E
40,85,23,55.6,50,7,0.76,C 2209 KTN9,H 309 E
45,90,23,61.9,55,9,0.85,C 2210 KTN9,H 310 E
50,100,25,65.8,60,10,1.1,C 2211 KTN9,H 311 E
50,100,25,80,60,10,1.15,C 2211 KV,H 311 E
55,110,28,77.1,65,9,1.45,C 2212 KTN9,H 312 E
55,110,28,91,65,9,1.5,C 2212 KV,H 312
60,120,31,79,70,8,1.8,C 2213 KTN9,H 313 E
60,120,31,97,70,8,1.9,C 2213 KV,H 313
60,125,31,83.7,75,9,2.1,C 2214 KTN9,H 314 E
60,150,51,106,76,6,5.1,C 2314 K,H 2314
65,130,31,98.3,80,12,2.3,C 2215 K,H 315 E
65,130,31,107,80,12,2.4,C 2215 KV,H 315
65,160,55,113,82,6,6.2,C 2315 K,H 2315
70,140,33,107,85,12,2.9,C 2216 K,H 316 E
70,140,33,116,85,12,3,C 2216 KV,H 316
70,170,58,119,88,6,7.4,C 2316 K,H 2316
75,150,36,114,91,12,3.7,C 2217 K,H 317 E
75,180,60,126,94,7,8.5,C 2317 K,H 2317
80,160,40,124,96,10,4.5,C 2218 K,H 318 E
80,190,64,138,100,7,10,C 2318 K,H 2318
85,200,67,138,105,7,11.5,C 2319 K,H 2319
90,180,46,134,108,8,6.3,C 2220 K,H 320 E
90,215,73,150,110,7,14.5,C 2320 K,H 2320
100,200,53,150,118,6,8.8,C 2222 K,H 322 E
110,215,76,162,131,17,14,C 3224 K,H 2324 L
115,230,64,171,138,8,14,C 2226 K,H 3126 L
115,280,93,201,142,8,31.5,C 2326 K/VE240,H 2326
125,250,68,191,149,8,17.5,C 2228 K,H 3128 L
135,225,56,190,158,8,11.5,C 3030 KV,H 3030
135,250,80,196,160,8,20,C 3130 K,H 3130 L
135,270,73,202,160,15,23,C 2230 K,H 3130 L
140,270,86,208,170,8,27,C 3132 K,H 3132 L
140,290,104,218,174,18,36.5,C 3232 K,H 2332 L
150,310,86,233,180,10,35,C 2234 K,H 3134 L
160,280,74,223,189,9,23,C 3036 K,H 3036
160,300,96,231,191,8,34,C 3136 K,H 3136 L
160,320,112,249,195,22,47,C 3236 K,H 2336
170,290,75,238,199,10,24,C 3038 K,H 3038
170,320,104,267,202,9,45,C 3138 KV,H 3138
170,340,92,254,202,21,43,C 2238 K,H 3138
180,310,82,250,210,10,30,C 3040 K,H 3040
180,340,112,264,212,9,50.5,C 3140 K,H 3140
200,340,90,274,231,10,37,C 3044 K,OH 3044 H
200,370,120,290,233,10,64,C 3144 K,OH 3144 HTL
200,400,108,298,233,22,69,C 2244 K,OH 3144 H
220,360,92,293,251,11,42.5,C 3048 K,OH 3048 H
220,400,128,309,254,11,77,C 3148 K,OH 3148 HTL
240,400,104,326,272,11,59,C 3052 K,OH 3052 H
240,440,144,341,276,11,105,C 3152 K,OH 3152 HTL
260,420,106,352,292,12,65,C 3056 K,OH 3056 H
260,460,146,363,296,12,115,C 3156 K,OH 3156 HTL
280,460,118,376,313,12,91,C 3060 KM,OH 3060 H
280,500,160,392,318,12,150,C 3160 K,OH 3160 H
300,480,121,398,334,13,95,C 3064 KM,OH 3064 H
300,540,176,411,338,13,190,C 3164 KM,OH 3164 H
320,520,133,425,355,14,125,C 3068 KM,OH 3068 H
320,580,190,446,360,14,235,C 3168 KM,OH 3168 H
340,480,90,409,372,14,73,C 3972 KM,OH 3972 HE
340,540,134,448,375,14,135,C 3072 KM,OH 3072 H
340,600,192,464,380,14,250,C 3172 KM,OH 3172 H
360,560,135,462,396,15,145,C 3076 KM,OH 3076 H
360,620,194,445,401,15,290,C 3176 KMB,OH 3176 HE
380,540,106,461,413,15,105,C 3980 KM,OH 3980 HE
380,600,148,486,417,15,175,C 3080 KM,OH 3080 H
380,650,200,525,421,15,345,C 3180 KM,OH 3180 H
400,560,106,484,433,15,106,C 3984 KM,OH 3984 HE
400,620,150,513,437,16,180,C 3084 KM,OH 3084 H
400,700,224,544,443,16,395,C 3184 KM,OH 3184 H
410,650,157,489,458,17,250,C 3088 KMB,OH 3088 HE
410,720,226,521,463,17,475,C 3188 KMB,OH 3188 HE
430,680,163,570,478,17,270,C 3092 KM,OH 3092 H
430,760,240,603,484,17,540,C 3192 KM,OH 3192 H
450,700,165,586,499,18,275,C 3096 KM,OH 3096 H
450,790,248,577,505,18,620,C 3196 KMB,OH 3196 HE
470,670,128,580,516,18,195,C 39/500 KM,OH 39/500 HE
470,830,264,654,527,18,690,C 31/500 KM,OH 31/500 H
500,780,185,638,551,20,390,C 30/530 KM,OH 30/530 H
500,870,272,685,558,20,770,C 31/530 KM,OH 31/530 H
530,750,140,648,577,20,260,C 39/560 KM,OH 39/560 HE
530,820,195,696,582,20,440,C 30/560 KM,OH 30/560 H
530,980,300,704,629,22,1100,C 31/600 KMB,OH 31/600 HE
560,870,200,728,623,22,520,C 30/600 KM,OH 30/600 H
600,850,165,723,650,22,420,C 39/630 KM,OH 39/630 HE
600,920,212,759,654,22,635,C 30/630 KM,OH 30/630 H
600,1030,315,740,663,22,1280,C 31/630 KMB,OH 31/630 HE
630,980,230,820,696,22,750,C 30/670 KM,OH 30/670 H
630,1090,336,791,705,22,1550,C 31/670 KMB,OH 31/670 HE
