d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_g,Kurzzeichen,d,d1,d2,D1,D2,r12_min,da_min,da_max,Da_max,ra_max,kr,f0
1.0,3,1.0,0.052,0.012,0.001,240000,150000,0.03,W 618/1,1.0,1.5,-,2.5,-,0.05,1.4,-,2.6,0.05,0.02,5.6
1.5,4,1.2,0.062,0.016,0.001,220000,140000,0.1,W 618/1.5,1.5,2.1,-,3.1,-,0.05,2.0,-,3.6,0.05,0.02,6.4
1.5,4,2.0,0.062,0.016,0.001,220000,110000,0.1,W 638/1.5-2Z,1.5,2.1,-,-,3.5,0.05,1.9,2.1,3.6,0.05,0.02,6.4
2.0,5,1.5,0.094,0.025,0.001,200000,120000,0.1,W 618/2,2.0,2.7,-,3.9,-,0.08,2.5,-,4.4,0.08,0.02,6.5
2.0,5,2.3,0.094,0.025,0.001,200000,100000,0.2, W 638/2-2Z,2.0,2.7,-,-,4.4,0.08,2.5,2.6,4.5,0.08,0.02,6.5
2.0,6,3.0,0.19,0.051,0.002,180000,90000,0.31,W 639/2-2Z,2.0,3,-,-,5.4,0.15,2.9,2.9,5.4,0.15,0.025,6.0
2.5,6,2.6,0.117,0.036,0.002,170000,85000,0.31, W 638/2.5-2Z,2.5,3.7,-,-,5.4,0.08,3.1,3.6,5.5,0.08,0.02,7.1
3.0,6,3.0,0.117,0.036,0.002,170000,85000,0.31, W 637/3-2Z,3.0,-,3.7,-,5.4,0.1,3.6,3.6,5.5,0.1,0.02,7.1
3.0,7,2.0,0.178,0.057,0.002,160000,100000,0.3,W 618/3,3.0,4.2,-,5.8,-,0.1,3.8,-,6.2,0.1,0.02,7.1
3.0,7,3.0,0.178,0.057,0.002,160000,80000,0.41, W 638/3-2Z,3.0,-,3.8,-,6.4,0.1,3.7,3.8,6.5,0.1,0.02,7.1
3.0,8,3.0,0.225,0.072,0.003,150000,75000,0.61, W 619/3-2Z,3.0,5,-,-,7.4,0.1,3.8,4.9,7.5,0.1,0.025,7.2
3.0,8,4.0,0.319,0.09,0.004,150000,75000,0.82, W 639/3-2Z,3.0,4.3,-,-,7.3,0.15,3.9,4.3,7.3,0.15,0.025,6.1
3.0,10,4.0,0.358,0.11,0.005,-,40000,1.5,W 623-2RS1,3.0,-,4.3,-,8,0.15,3.9,4.3,8.8,0.15,0.03,6.3
3.0,10,4.0,0.358,0.11,0.005,140000,70000,1.6, W 623-2Z,3.0,-,4.3,-,8,0.15,3.9,4.3,8.8,0.15,0.03,6.3
4.0,7,2.5,0.143,0.053,0.002,150000,75000,0.31,W 627/4-2Z,4.0,4.8,-,-,6.5,0.1,4.6,4.7,6.5,0.1,0.015,7.6
4.0,9,2.5,0.364,0.114,0.005,140000,85000,0.6, W 618/4,4.0,5.2,-,7.5,-,0.1,4.8,-,8.2,0.1,0.02,6.5
4.0,9,4.0,0.364,0.114,0.005,140000,70000,0.93, W 638/4-2Z,4.0,5.2,-,-,8.1,0.1,4.8,5.1,8.2,0.1,0.02,6.5
4.0,11,4.0,0.54,0.176,0.008,130000,63000,1.65, W 619/4-2Z,4.0,-,5.6,-,9.9,0.15,5.2,5.5,10.0,0.15,0.025,6.4
