d,D,B,d1,D2,r12_min,C0,Grenzdrehzahl,T_max,Gewicht_kg,Kurzzeichen
12,32,10,18.4,27.4,0.6,3.1,400,250,0.037,6201/VA201
12,32,10,18.4,27.4,0.6,3.1,200,250,0.039,6201-2Z/VA201
12,32,10,18.4,27.4,0.6,3.1,400,350,0.039,6201-2Z/VA228
15,35,11,21.7,30.4,0.6,3.75,360,250,0.045,6202/VA201
15,35,11,21.7,30.4,0.6,3.75,180,250,0.048,6202-2Z/VA201
15,35,11,21.7,30.4,0.6,3.75,360,350,0.048,6202-2Z/VA228
17,35,10,23,31.2,0.3,3.25,340,250,0.038,6003/VA201
17,35,10,23,31.2,0.3,3.25,170,250,0.041,6003-2Z/VA201
17,35,10,23,31.2,0.3,3.25,170,350,0.041,6003-2Z/VA208
17,40,12,24.5,35,0.6,4.75,310,250,0.065,6203/VA201
17,40,12,24.5,35,0.6,4.75,150,250,0.068,6203-2Z/VA201
17,40,12,24.5,35,0.6,4.75,310,350,0.068,6203-2Z/VA228
17,47,14,26.5,39.6,1,6.55,280,250,0.11,6303/VA201
17,47,14,26.5,39.6,1,6.55,280,350,0.12,6303-2Z/VA228
20,42,12,27.2,37.2,0.6,5,290,250,0.067,6004/VA201
20,42,12,27.2,37.2,0.6,5,140,250,0.071,6004-2Z/VA201
20,42,12,27.2,37.2,0.6,5,140,350,0.071,6004-2Z/VA208
20,47,14,28.8,40.6,1,6.55,260,250,0.031,6204/VA201
20,47,14,28.8,40.6,1,6.55,130,250,0.11,6204-2Z/VA201
20,47,14,28.8,40.6,1,6.55,260,350,0.11,6204-2Z/VA228
20,52,15,30.3,44.8,1.1,7.8,250,250,0.14,6304/VA201
20,52,15,30.3,44.8,1.1,7.8,120,250,0.15,6304-2Z/VA201
20,52,15,30.3,44.8,1.1,7.8,120,350,0.15,6304-2Z/VA208
20,52,15,30.3,44.8,1.1,7.8,250,350,0.15,6304-2Z/VA228
