d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_ohne_Sprengring,Kurzzeichen_Lager_mit_Sprengring,Kurzzeichen_Sprengring,d,d1,D2,D3,D4,b,f,C,r12_min,r0_max,da_min,da_max,Da_max,Db_min,ba_min,Ca_max,ra_max,kr
25,62,17,22.9,15.6,0.67,20000,13000,0.24,305,305 NR,SP 62,25,36.6,52.7,59.61,67.7,1.9,1.7,3.28,1.1,0.6,32.0,-,55,69,2.2,4.98,1.0,0.05
25,62,17,22.9,15.6,0.67,20000,13000,0.24,305-Z,305-ZNR,SP 62,25,36.6,52.7,59.61,67.7,1.9,1.7,3.28,1.1,0.6,32.0,32.7,55,69,2.2,4.98,1.0,0.05
25,62,17,22.9,15.6,0.67,20000,10400,0.24,305-2Z,305-2ZNR,SP 62,25,36.6,52.7,59.61,67.7,1.9,1.7,3.28,1.1,0.6,32.0,32.7,55,69,2.2,4.98,1.0,0.05
30,62,16,20.9,16.3,0.695,20000,12000,0.21,206,206 NR,SP 62,30,40.3,54.06,59.61,67.7,1.9,1.7,3.28,1.0,0.6,35.6,-,56,69,2.2,4.98,1.0,0.04
30,62,16,20.9,16.3,0.695,20000,12000,0.21,206-Z,206-ZNR,SP 62,30,40.3,54.06,59.61,67.7,1.9,1.7,3.28,1.0,0.6,35.6,40.2,56,69,2.2,4.98,1.0,0.04
30,62,16,20.9,16.3,0.695,20000,9600,0.21,206-2Z,206-2ZNR,SP 62,30,40.3,54.06,59.61,67.7,1.9,1.7,3.28,1.0,0.6,35.6,40.2,56,69,2.2,4.98,1.0,0.04
30,72,19,29.7,21.6,0.93,18000,11000,0.37,306,306 NR,SP 72,30,44.6,61.88,68.81,78.6,1.9,1.7,3.28,1.1,0.6,37.0,-,65,80,2.2,4.98,1.0,0.05
30,72,19,29.7,21.6,0.93,18000,11000,0.37,306-Z,306-ZNR,SP 72,30,44.6,61.88,68.81,78.6,1.9,1.7,3.28,1.1,0.6,37.0,44.5,65,80,2.2,4.98,1.0,0.05
30,72,19,29.7,21.6,0.93,18000,8800,0.37,306-2Z,306-2ZNR,SP 72,30,44.6,61.88,68.81,78.6,1.9,1.7,3.28,1.1,0.6,37.0,44.5,65,80,2.2,4.98,1.0,0.05
35,72,17,27.5,22.0,0.93,17000,10000,0.31,207,207 NR,SP 72,35,46.9,62.69,68.81,78.6,1.9,1.7,3.28,1.1,0.6,42.0,-,65,80,2.2,4.98,1.0,0.04
35,72,17,27.5,22.0,0.93,17000,10000,0.31,207-Z,207-ZNR,SP 72,35,46.9,62.69,68.81,78.6,1.9,1.7,3.28,1.1,0.6,42.0,46.8,65,80,2.2,4.98,1.0,0.04
35,72,17,27.5,22.0,0.93,17000,8000,0.31,207-2Z,207-2ZNR,SP 72,35,46.9,62.69,68.81,78.6,1.9,1.7,3.28,1.1,0.6,42.0,46.8,65,80,2.2,4.98,1.0,0.04
35,80,21,34.7,26.5,1.12,16000,9500,0.48,307,307 NR,SP 80,35,49.5,69.2,76.81,86.6,1.9,1.7,3.28,1.5,0.6,44.0,-,71,88,2.2,4.98,1.5,0.05
35,80,21,34.7,26.5,1.12,16000,9500,0.48,307-Z,307-ZNR,SP 80,35,49.5,69.2,76.81,86.6,1.9,1.7,3.28,1.5,0.6,44.0,49.4,71,88,2.2,4.98,1.5,0.05
35,80,21,34.7,26.5,1.12,16000,7600,0.48,307-2Z,307-2ZNR,SP 80,35,49.5,69.2,76.81,86.6,1.9,1.7,3.28,1.5,0.6,44.0,49.4,71,88,2.2,4.98,1.5,0.05
40,80,18,33.6,27.0,1.16,15000,9500,0.39,208,208 NR,SP 80,40,52.6,69.8,76.81,86.6,1.9,1.7,3.28,1.1,0.6,47.0,-,73,88,2.2,4.98,1.0,0.04
40,80,18,33.6,27.0,1.16,15000,9500,0.39,208-Z,208-ZNR,SP 80,40,52.6,69.8,76.81,86.6,1.9,1.7,3.28,1.1,0.6,47.0,52,73,88,2.2,4.98,1.0,0.04
40,80,18,33.6,27.0,1.16,15000,7600,0.39,208-2Z,208-2ZNR,SP 80,40,52.6,69.8,76.81,86.6,1.9,1.7,3.28,1.1,0.6,47.0,52,73,88,2.2,4.98,1.0,0.04
40,90,23,45.7,36.0,1.53,14000,8500,0.64,308,308 NR,SP 90,40,56.1,77.7,86.79,96.5,2.7,2.46,3.28,1.5,0.6,49.0,-,81,98,3,5.74,1.5,0.05
40,90,23,45.7,36.0,1.53,14000,8500,0.64,308-Z,308-ZNR,SP 90,40,56.1,77.7,86.79,96.5,2.7,2.46,3.28,1.5,0.6,49.0,56,81,98,3,5.74,1.5,0.05
40,90,23,45.7,36.0,1.53,14000,6800,0.64,308-2Z,308-2ZNR,SP 90,40,56.1,77.7,86.79,96.5,2.7,2.46,3.28,1.5,0.6,49.0,56,81,98,3,5.74,1.5,0.05
45,85,19,35.2,30.0,1.27,14000,8500,0.44,209,209 NR,SP 85,45,57.6,75.19,81.81,91.6,1.9,1.7,3.28,1.1,0.6,52.0,-,78,93,2.2,4.98,1.0,0.04
45,85,19,35.2,30.0,1.27,14000,8500,0.44,209-Z,209-ZNR,SP 85,45,57.6,75.19,81.81,91.6,1.9,1.7,3.28,1.1,0.6,52.0,57,78,93,2.2,4.98,1.0,0.04
45,85,19,35.2,30.0,1.27,14000,6800,0.44,209-2Z,209-2ZNR,SP 85,45,57.6,75.19,81.81,91.6,1.9,1.7,3.28,1.1,0.6,52.0,57,78,93,2.2,4.98,1.0,0.04
45,100,25,55.0,44.0,1.86,13000,7500,0.88,309,309 NR,SP 100,45,62.1,86.7,96.8,106.5,2.7,2.46,3.28,1.5,0.6,54.0,-,91,108,3,5.74,1.5,0.05
45,100,25,55.0,44.0,1.86,13000,7500,0.88,309-Z,309-ZNR,SP 100,45,62.1,86.7,96.8,106.5,2.7,2.46,3.28,1.5,0.6,54.0,62,91,108,3,5.74,1.5,0.05
45,100,25,55.0,44.0,1.86,13000,6000,0.88,309-2Z,309-2ZNR,SP 100,45,62.1,86.7,96.8,106.5,2.7,2.46,3.28,1.5,0.6,54.0,62,91,108,3,5.74,1.5,0.05
