d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager,Kurzzeichen_was_auch_immer,Kurzzeichen_Sprengring,d,d1,D1,D2,D3,D4,b,f,C,r12_min,r0_max,da_min,da_max,Da_max,Db_min,ba_min,Ca_max,ra_max,kr,f0
10,30,9,5.4,2.36,0.1,56000,28000,0.035,6200-ZNR,6200-2ZNR,SP 30,10,17.0,-,24.8,28.17,34.7,1.35,1.12,2.06,0.6,0.4,14.2,16.9,25.8,36,1.5,3.18,0.6,0.025,13
10,30,9,5.4,2.36,0.1,56000,36000,0.032,6200 N,6200 NR,SP 30,10,17.0,-,24.8,28.17,34.7,1.35,1.12,2.06,0.6,0.4,14.2,-,25.8,36,1.5,3.18,0.6,0.025,13
12,32,10,7.28,3.1,0.132,50000,26000,0.037,6201-ZNR,6201-2ZNR,SP 32,12,18.4,-,27.4,30.15,36.7,1.35,1.12,2.06,0.6,0.4,16.2,18.4,27.8,38,1.5,3.18,0.6,0.025,12
12,32,10,7.28,3.1,0.132,50000,32000,0.037,6201 N,6201 NR,SP 32,12,18.4,-,27.4,30.15,36.7,1.35,1.12,2.06,0.6,0.4,16.2,-,27.8,38,1.5,3.18,0.6,0.025,12
15,35,11,8.06,3.75,0.16,43000,22000,0.045,6202-ZNR,6202-2ZNR,SP 35,15,21.7,-,30.5,33.17,39.7,1.35,1.12,2.06,0.6,0.4,19.2,21.6,30.8,41,1.5,3.18,0.6,0.025,13
15,35,11,8.06,3.75,0.16,43000,28000,0.045,6202 N,6202 NR,SP 35,15,21.7,-,30.5,33.17,39.7,1.35,1.12,2.06,0.6,0.4,19.2,-,30.8,41,1.5,3.18,0.6,0.025,13
17,40,12,9.95,4.75,0.2,38000,19000,0.065,6203-ZNR,6203-2ZNR,SP 40,17,24.5,-,35,38.1,44.6,1.35,1.12,2.06,0.6,0.4,21.2,24.4,35.8,46,1.5,3.18,0.6,0.025,13
17,40,12,9.95,4.75,0.2,38000,24000,0.065,6203 N,6203 NR,SP 40,17,24.5,-,35,38.1,44.6,1.35,1.12,2.06,0.6,0.4,21.2,-,35.8,46,1.5,3.18,0.6,0.025,13
17,47,14,14.3,6.55,0.275,34000,17000,0.12,6303-ZNR,6303-2ZNR,SP 47,17,26.5,-,39.6,44.6,52.7,1.35,1.12,2.46,1.0,0.4,22.6,26.4,41.4,54,1.5,3.58,1.0,0.03,12
17,47,14,14.3,6.55,0.275,34000,22000,0.12,6303 N,6303 NR,SP 47,17,26.5,-,39.6,44.6,52.7,1.35,1.12,2.46,1.0,0.4,22.6,-,41.4,54,1.5,3.58,1.0,0.03,12
20,42,12,9.95,5.0,0.212,38000,19000,0.069,6004-ZNR,6004-2ZNR,SP 42,20,27.2,-,37.2,39.75,46.3,1.35,1.12,2.06,0.6,0.4,23.2,27.1,38.8,48,1.5,3.18,0.6,0.025,14
20,42,12,9.95,5.0,0.212,38000,24000,0.069,6004 N,6004 NR,SP 42,20,27.2,-,37.2,39.75,46.3,1.35,1.12,2.06,0.6,0.4,23.2,-,38.8,48,1.5,3.18,0.6,0.025,14
20,47,14,13.5,6.55,0.28,32000,17000,0.11,6204-ZNR,6204-2ZNR,SP 47,20,28.8,-,40.6,44.6,52.7,1.35,1.12,2.46,1.0,0.4,25.6,28.7,41.4,54,1.5,3.58,1.0,0.025,13
20,47,14,13.5,6.55,0.28,32000,20000,0.11,6204 N,6204 NR,SP 47,20,28.8,-,40.6,44.6,52.7,1.35,1.12,2.46,1.0,0.4,25.6,-,41.4,54,1.5,3.58,1.0,0.025,13
20,52,15,16.8,7.8,0.335,30000,15000,0.16,6304-ZNR,6304-2ZNR,SP 52,20,30.3,-,44.8,49.73,57.9,1.35,1.12,2.46,1.1,0.4,27.0,30.3,45.0,59,1.5,3.58,1.0,0.03,12
20,52,15,16.8,7.8,0.335,30000,19000,0.15,6304 N,6304 NR,SP 52,20,30.3,-,44.8,49.73,57.9,1.35,1.12,2.46,1.1,0.4,27.0,-,45.0,59,1.5,3.58,1.0,0.03,12
25,47,12,11.9,6.55,0.275,32000,16000,0.08,6005-ZNR,6005-2ZNR,SP 47,25,32.0,-,42.2,44.6,52.7,1.35,1.12,2.06,0.6,0.4,28.2,31.9,43.8,54,1.5,3.18,0.6,0.025,14
25,47,12,11.9,6.55,0.275,32000,20000,0.08,6005 N,6005 NR,SP 47,25,32.0,-,42.2,44.6,52.7,1.35,1.12,2.06,0.6,0.4,28.2,-,43.8,54,1.5,3.18,0.6,0.025,14
25,52,15,14.8,7.8,0.335,28000,14000,0.13,6205-ZNR,6205-2ZNR,SP 52,25,34.3,-,46.3,49.73,57.9,1.35,1.12,2.46,1.0,0.4,30.6,34.3,46.4,59,1.5,3.58,1.0,0.025,14
25,52,15,14.8,7.8,0.335,28000,18000,0.13,6205 N,6205 NR,SP 52,25,34.3,-,46.3,49.73,57.9,1.35,1.12,2.46,1.0,0.4,30.6,-,46.4,59,1.5,3.58,1.0,0.025,14
25,62,17,23.4,11.6,0.49,24000,13000,0.24,6305-ZNR,6305-2ZNR,SP 62,25,36.6,-,52.7,59.61,67.7,1.9,1.7,3.28,1.1,0.6,32.0,36.5,55.0,69,2.2,4.98,1.0,0.03,12
