d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Universallager,Kurzzeichen_Lager_der_Grundausführung_mit_Dichtungen,d,d1,d2,D1_D2,D5,r12_min,r34_min,a,da_min,da_max,Da_max,Db_max,ra_max,rb_max,A,kr
10,30,9,7.02,3.35,0.14,30000,30000,0.03,7200 BECBP,7200 BEP,10,18.3,14.5,22.9,-,0.6,0.3,13.0,14.2,-,25.8,27.6,0.6,0.3,0.000224,0.095
12,32,10,7.61,3.8,0.16,28000,26000,0.036,7201 BECBP,7201 BEP,12,20.2,16.5,25.0,-,0.6,0.3,14.0,16.2,-,27.8,30.0,0.6,0.3,0.000283,0.095
12,37,12,10.6,5.0,0.208,26000,20000,0.06,-,7301 BE-2RZP,12,21.9,16.9,29.5,33.5,1.0,0.6,16.3,17.6,21.5,31.4,32.8,1.0,0.6,0.000537,0.1
12,37,12,10.6,5.0,0.208,26000,24000,0.06,-,7301 BEP,12,21.7,16.9,28.3,-,1.0,0.6,16.3,17.6,-,31.4,32.8,1.0,0.6,0.000537,0.1
15,35,11,8.32,4.4,0.183,24000,20000,0.045,-,7202 BE-2RZP,15,22.7,18.9,28.5,32.4,0.6,0.3,16.0,19.2,22.5,30.8,32.6,0.6,0.3,0.000383,0.095
15,35,11,8.32,4.4,0.183,24000,24000,0.045,-,7202 BEP,15,22.7,18.9,27.8,-,0.6,0.3,16.0,19.2,-,30.8,32.6,0.6,0.3,0.000383,0.095
15,35,11,8.8,4.65,0.196,24000,26000,0.045,7202 BECBP,-,15,22.7,18.9,27.8,-,0.6,0.3,16.0,19.2,-,30.8,32.6,0.6,0.3,0.000383,0.095
15,35,11,10.2,5.2,0.224,26000,40000,0.045,7202 ACCBM,-,15,22.8,18.8,27.6,-,0.6,0.3,16.0,19.2,-,30.8,32.6,0.6,0.3,0.000156,0.095
15,42,13,13.0,6.7,0.28,22000,17000,0.082,-,7302 BE-2RZP,15,26.0,20.7,33.8,38.6,1.0,0.6,18.6,21.0,25.5,36.0,38.0,1.0,0.6,0.000907,0.1
15,42,13,13.0,6.7,0.28,22000,20000,0.08,7302 BECBP,7302 BEP,15,26.0,20.7,32.6,-,1.0,0.6,18.6,21.0,-,36.0,38.0,1.0,0.6,0.000907,0.1
