d,D,T,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,Massreihe_nach_ISO_355_ABMA,d,d1,B,C,r12_min,r34_min,a,da_max,db_min,Da_min,Da_max,Db_min,Ca_min,Cb_min,ra_max,rb_max,e,Y,Y0
15.0,35,11.75,18.5,14.6,1.43,17000,20000,0.055,30202,2CC,15,25.6,11.0,9.25,0.6,0.6,8,20,20.5,30,30.5,32,2,2.5,0.6,0.6,0.35,1.7,0.9
15.0,42,14.25,27.7,20.0,2.08,15000,18000,0.094,30302,2FB,15,27.8,13.0,11.0,1.0,1.0,9,22,21.5,36,36.5,38,2,3.0,1.0,1.0,0.28,2.1,1.1
17.0,40,13.25,23.4,18.6,1.83,15000,18000,0.079,30203,2DB,17,29.0,12.0,11.0,1.0,1.0,9,23,23.5,34,34.5,37,2,2.0,1.0,1.0,0.35,1.7,0.9
17.0,47,15.25,34.2,25.0,2.7,13000,16000,0.13,30303,2FB,17,30.5,14.0,12.0,1.0,1.0,10,25,23.5,40,41.5,42,2,3.0,1.0,1.0,0.28,2.1,1.1
17.0,47,20.25,42.8,33.5,3.65,12000,16000,0.17,32303,2FD,17,30.7,19.0,16.0,1.0,1.0,12,24,23.5,39,41.5,43,3,4.0,1.0,1.0,0.28,2.1,1.1
20.0,42,15.0,29.7,27.0,2.65,13000,16000,0.099,32004 X,3CC,20,32.1,15.0,12.0,0.6,0.6,10,25,25.5,36,37.5,39,3,3.0,0.6,0.6,0.37,1.6,0.9
20.0,47,15.25,34.1,28.0,3.0,12000,15000,0.12,30204,2DB,20,33.7,14.0,12.0,1.0,1.0,11,28,26.5,40,41.5,43,2,3.0,1.0,1.0,0.35,1.7,0.9
20.0,52,16.25,41.9,32.5,3.55,12000,14000,0.17,30304,2FB,20,34.4,15.0,13.0,1.5,1.5,11,28,27.5,44,45.5,47,2,3.0,1.5,1.5,0.3,2.0,1.1
20.0,52,22.25,54.3,45.5,5.0,11000,14000,0.23,32304,2FD,20,34.6,21.0,18.0,1.5,1.5,13,27,27.5,43,45.5,47,3,4.0,1.5,1.5,0.3,2.0,1.1
22.0,44,15.0,30.9,29.0,2.85,13000,15000,0.1,320/22 X,3CC,22,34.3,15.0,11.5,0.6,0.6,10,27,27.5,38,39.0,41,3,3.5,0.6,0.6,0.4,1.5,0.8
