d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,d1,D1,E_F,r12_min,r34_min,s_max,da_min,das,db_max,Da_max,Db_max,ra_max,rb_max,kr
20,42,16,28.1,28.5,3.1,8500,10000,0.11, NCF 3004 CV,20,29.0,33.0,36.81,0.6,0.3,1.5,24,26.9,-,38,39,0.6,0.3,0.3
25,47,16,31.9,35.5,3.8,7000,9000,0.12,NCF 3005 CV,25,34.0,39.0,42.51,0.6,0.3,1.5,29,32.3,-,43,44,0.6,0.3,0.3
25,62,24,68.2,68.0,8.5,4500,5600,0.38,NJG 2305 VH,25,36.1,48.2,31.74,1.1,-,1.7,31,33.9,30,55,-,1.0,-,0.35
30,55,19,39.6,44.0,5.3,13000,15000,0.2, NCF 3006 CV,30,40.0,45.0,49.6,1.0,0.3,2.0,35,37.8,-,50,52,1.0,0.3,0.3
30,72,27,84.2,86.5,11.0,4000,4800,0.56,NJG 2306 VH,30,43.2,56.4,38.36,1.1,-,1.8,37,40.8,36.5,64,-,1.0,-,0.35
35,62,20,48.4,56.0,6.55,5300,6700,0.26,NCF 3007 CV,35,45.0,51.0,55.52,1.0,0.3,2.0,40,42.8,-,57,58,1.0,0.3,0.3
35,80,31,108.0,114.0,14.3,3400,4300,0.75,NJG 2307 VH,35,50.4,65.8,44.75,1.5,-,2.0,43,47.6,42,71,-,1.5,-,0.35
40,68,21,57.2,69.5,8.15,4800,6000,0.31, NCF 3008 CV,40,50.0,58.0,61.74,1.0,0.3,2.0,45,47.9,-,63,65,1.0,0.3,0.3
40,90,33,145.0,156.0,20.0,3000,3600,1.0, NJG 2308 VH,40,57.6,75.2,51.15,1.5,-,2.4,49,54.4,49,81,-,1.5,-,0.35
45,75,23,60.5,78.0,9.15,4300,5300,0.4,NCF 3009 CV,45,55.0,62.0,66.85,1.0,0.3,2.0,50,53.0,-,70,71,1.0,0.3,0.3
45,100,25,110.0,112.0,14.0,7500,9000,0.94,NJG 309 VH,45,62.5,80.1,56.14,1.5,-,1.7,54,59.3,54,91,-,1.5,-,0.35
