d,D,T,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,d1,C,l,b,K,t,r12_min,r5_min,a,db_min,Db_min,Cb_min,ra_max,rc_max,e,Y1,Y2,Y0
35,72,64.0,178,212.0,23.6,6300,9500.0,1.15,33207T64/DB,35,53.4,52.0,8.0,4,1.5,-,1.5,0.6,44,43.5,68,6.0,1.5,0.6,0.35,1.9,2.9,1.8
40,68,41.5,111,143.0,15.3,6300,9500.0,0.58,32008T41.5 X/DB,40,54.7,32.5,3.5,-,-,1.5,1.0,0.3,33,47.5,65,4.5,1.0,0.3,0.37,1.8,2.7,1.8
90,72,182.0,190,21.6,5300.0,8000,1.9,30308T72/DB,,40,62.5,61.5,21.5,9,6,-,2.0,0.6,60,49.5,82,5.0,2.0,0.6,0.35,1.9,2.9,1.8
45,100,62.5,194,204.0,24.5,4000,6700.0,2.1,31309T62.5/DB,45,74.7,44.0,8.0,5,3,-,2.0,0.6,70,55.0,95,9.0,2.0,0.6,0.83,0.81,1.2,0.8
50,80,50.0,129,176.0,19.3,5300,8000.0,0.86,32010T50 X/DB,50,65.9,41.0,10.0,6,4,-,1.0,0.3,45,58.0,77,4.5,1.0,0.3,0.43,1.6,2.3,1.6
50,90,67.5,173,200.0,22.8,4800,7500.0,1.5,32210T67.5/DB,50,68.6,56.0,18.0,10,2,-,1.5,0.6,60,59.0,85,5.5,1.5,0.6,0.43,1.6,2.3,1.6
55,90,59.0,191,270.0,30.5,4500,7000.0,1.4,33011T59/DB,55,73.1,47.0,5.0,-,-,2,1.5,0.6,43,64.0,86,6.0,1.5,0.6,0.31,2.2,3.3,2.2
55,95,88.0,232,310.0,35.5,4500,6700.0,2.1,33111T88/DB,55,75.1,74.0,28.0,16,8,-,1.5,0.6,72,64.0,91,7.0,1.5,0.6,0.37,1.8,2.7,1.8
60,95,65.0,173,245.0,27.0,4300,6700.0,1.45,32012T65 X/DB,60,77.8,54.0,19.0,7,4.5,-,1.5,0.6,60,69.0,91,5.5,1.5,0.6,0.43,1.6,2.3,1.6
60,110,53.0,207,228.0,26.5,4000,6000.0,1.9,30212T53/DB,60,80.9,43.5,5.5,-,-,2,2.0,0.6,49,70.0,103,4.5,2.0,0.6,0.4,1.7,2.5,1.6
65,100,53.0,176,255.0,28.0,4000,6000.0,1.35,32013T53 X/DB,65,83.3,42.0,7.0,4,3,-,1.5,0.6,51,74.0,97,5.5,1.5,0.6,0.46,1.5,2.2,1.4
65,100,60.0,204,310.0,34.5,4000,6300.0,1.6,33013T60/DB,65,82.6,48.0,6.0,-,-,2,1.5,0.6,48,74.0,96,6.0,1.5,0.6,0.35,1.9,2.9,1.8
65,140,82.0,411,455.0,55.0,3200,4800.0,5.3,30313T82/DB,65,98.7,66.0,10.0,4,2,-,3.0,1.0,65,78.0,130,8.0,3.0,1.0,0.35,1.9,2.9,1.8
70,110,63.0,214,305.0,34.5,3800,5600.0,1.9,32014T63 X/DB,70,89.9,51.0,13.0,3,2,-,1.5,0.6,60,80.0,105,6.0,1.5,0.6,0.43,1.6,2.3,1.6
70,110,108.8,273,400.0,45.5,3800,5600.0,3.05,33014T108.8/DB,70,88.9,97.8,46.8,10,4.5,-,1.5,0.6,92,80.0,105,5.5,1.5,0.6,0.28,2.4,3.6,2.5
70,125,59.0,267,310.0,36.0,3400,5300.0,2.7,30214T59/DB,70,94.0,48.5,6.5,-,-,2,2.0,0.6,57,81.0,118,5.0,2.0,0.6,0.43,1.6,2.3,1.6
70,150,84.0,465,520.0,62.0,3000,4500.0,6.3,30314T84/DB,70,105.0,68.0,8.0,4,3,-,3.0,1.0,66,83.0,140,8.0,3.0,1.0,0.35,1.9,2.9,1.8
75,130,70.0,293,355.0,41.5,3400,5000.0,3.2,30215T70/DB,75,99.8,59.5,15.5,8.6,5,-,2.0,0.6,69,86.0,124,5.0,2.0,0.6,0.43,1.6,2.3,1.6
