d,D,T,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,2B,b,K,r34_min,r5_min,da_max,Da_min,Da_max,Ca_min,ra_max,rc_max,e,Y1,Y2,Y0
25,62,36.5,79.9,80,8.65,6700,11000,0.55,31305/DF,25,34,6,4.0,1.5,0.6,34,47,55,3,1.5,0.6,0.83,0.81,1.2,0.8
30,62,34.5,85.7,88,9.65,7500,11000,0.48,30206/DF,30,32,3,3.0,1.0,0.3,38,53,56,2,1.0,0.3,0.37,1.8,2.7,1.8
30,62,42.5,106.0,116,12.7,7500,11000,0.59,32206/DF,30,40,4,3.0,1.0,0.3,37,52,56,3,1.0,0.3,0.37,1.8,2.7,1.8
30,72,41.5,100.0,100,11.4,5600,9500,0.82,31306/DF,30,38,8,5.5,1.5,0.6,40,55,65,3,1.5,0.6,0.83,0.81,1.2,0.8
30,72,41.5,119.0,112,12.7,6700,10000,0.81,30306/DF,30,38,6,3.0,1.5,0.6,41,62,64,3,1.5,0.6,0.31,2.2,3.3,2.2
35,62,36.0,89.7,108,11.6,7000,10000,0.46,32007 X/DF,35,36,5,3.0,1.0,0.3,41,54,56,4,1.0,0.3,0.46,1.5,2.2,1.4
35,72,48.5,139.0,156,17.0,6300,9500,0.91,32207/DF,35,46,5,3.0,1.5,0.6,43,61,64,3,1.5,0.6,0.37,1.8,2.7,1.8
35,72,56.0,178.0,212,23.6,6300,9500,1.1,33207/DF,35,56,7,4.0,1.5,0.6,43,61,64,5,1.5,0.6,0.35,1.9,2.9,1.8
35,80,45.5,129.0,134,15.6,5000,8500,1.1,31307/DF,35,42,8,6.0,1.5,0.6,45,62,72,3,1.5,0.6,0.83,0.81,1.2,0.8
35,80,45.5,152.0,150,16.6,6000,9000,1.05,30307/DF,35,42,5,3.0,1.5,0.6,46,70,72,3,1.5,0.6,0.31,2.2,3.3,2.2
40,75,52.0,167.0,208,22.8,6000,9000,1.05,33108/DF,40,52,7,4.0,1.5,0.6,47,65,67,4,1.5,0.6,0.35,1.9,2.9,1.8
40,80,39.5,130.0,137,15.3,5600,8500,0.87,30208/DF,40,36,4,3.0,1.5,0.6,49,69,72,3,1.5,0.6,0.37,1.8,2.7,1.8
40,90,50.5,156.0,163,19.0,4500,7500,1.5,31308/DF,40,46,11,8.0,1.5,0.6,51,71,82,3,1.5,0.6,0.83,0.81,1.2,0.8
45,75,40.0,123.0,160,17.6,5600,8500,0.71,32009 X/DF,45,40,5,4.5,1.0,0.3,52,67,68,4,1.0,0.3,0.4,1.7,2.5,1.6
45,85,49.5,169.0,196,22.0,5300,8000,1.2,32209/DF,45,46,7,3.0,1.5,0.6,54,73,77,3,1.5,0.6,0.4,1.7,2.5,1.6
45,100,54.5,194.0,204,24.5,4000,6700,2.0,31309/DF,45,50,10,8.5,1.5,0.6,57,79,92,4,1.5,0.6,0.83,0.81,1.2,0.8
45,100,54.5,227.0,240,28.5,4500,7000,2.0,30309/DF,45,50,6,3.0,1.5,0.6,59,86,92,3,1.5,0.6,0.35,1.9,2.9,1.8
50,80,40.0,129.0,176,19.3,5300,8000,0.78,32010 X/DF,50,40,5,4.5,1.0,0.3,57,72,73,4,1.0,0.3,0.43,1.6,2.3,1.6
50,80,48.0,145.0,204,22.8,5300,8000,0.92,33010/DF,50,48,6,4.0,1.0,0.3,57,72,73,4,1.0,0.3,0.31,2.2,3.3,2.2
50,90,43.5,160.0,183,20.8,4800,7500,1.1,30210/DF,50,40,4,3.0,1.5,0.6,59,79,82,3,1.5,0.6,0.43,1.6,2.3,1.6
50,90,49.5,173.0,200,22.8,4800,7500,1.3,32210/DF,50,46,7,3.0,1.5,0.6,58,78,82,3,1.5,0.6,0.43,1.6,2.3,1.6
50,90,64.0,243.0,320,36.5,4800,7000,1.75,33210/DF,50,64,9,5.0,1.5,0.6,57,77,82,5,1.5,0.6,0.4,1.7,2.5,1.6
50,110,58.5,224.0,240,28.5,3600,6000,2.55,31310/DF,50,54,10,7.5,2.0,0.6,63,87,101,4,2.0,0.6,0.83,0.81,1.2,0.8
55,90,46.0,170.0,232,26.0,4500,7000,1.15,32011 X/DF,55,46,7,4.5,1.5,0.6,63,81,82,4,1.5,0.6,0.4,1.7,2.5,1.6
55,90,54.0,191.0,270,30.5,4500,7000,1.35,33011/DF,55,54,7,4.5,1.5,0.6,64,81,82,5,1.5,0.6,0.31,2.2,3.3,2.2
55,100,45.5,190.0,212,24.0,4500,6700,1.45,30211/DF,55,42,6,3.0,1.5,0.6,64,88,92,4,1.5,0.6,0.4,1.7,2.5,1.6
55,100,53.5,222.0,260,30.0,4300,6700,1.75,32211/DF,55,50,7,3.0,1.5,0.6,64,87,92,4,1.5,0.6,0.4,1.7,2.5,1.6
55,120,63.0,256.0,275,33.5,3400,5600,3.25,31311/DF,55,58,10,7.5,2.0,0.6,68,94,111,4,2.0,0.6,0.83,0.81,1.2,0.8
