d,D,H,C,C0,Pu,Minimallastfaktor_A,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,d1,D1,r12_min,da_min,Da_max,ra_max
3,8,3.5,0.806,0.72,0.027,3e-06,26000,36000,0.0009, BA 3,3,7.8,3.2,0.15,5.8,5.0,0.15
4,10,4.0,0.761,0.72,0.027,3e-06,22000,30000,0.0015, BA 4,4,9.8,4.2,0.15,7.5,6.5,0.15
5,12,4.0,0.852,0.965,0.036,5e-06,20000,28000,0.0021, BA 5,5,11.8,5.2,0.15,8.0,9.0,0.15
6,14,5.0,1.78,1.92,0.071,1.9e-05,17000,24000,0.0035, BA 6,6,13.8,6.2,0.2,11.0,9.5,0.2
7,17,6.0,2.51,2.9,0.108,4.4e-05,14000,19000,0.0065, BA 7,7,16.8,7.2,0.2,12.5,11.0,0.2
8,19,7.0,3.19,3.8,0.143,7.5e-05,12000,17000,0.0091, BA 8,8,18.8,8.2,0.3,14.5,12.5,0.3
9,20,7.0,3.12,3.8,0.143,7.5e-05,12000,16000,0.01, BA 9,9,19.8,9.2,0.3,15.5,13.5,0.3
10,24,9.0,9.95,15.3,0.56,0.0012,9500,13000,0.02,51100,10,24.0,11.0,0.3,19.0,15.0,0.3
10,26,11.0,12.7,18.6,0.695,0.0018,8000,11000,0.03,51200,10,26.0,12.0,0.6,20.0,16.0,0.6
12,26,9.0,10.4,16.6,0.62,0.0014,9000,13000,0.022,51101,12,26.0,13.0,0.3,21.0,17.0,0.3
12,28,11.0,13.3,20.8,0.765,0.0022,8000,11000,0.034,51201,12,28.0,14.0,0.6,22.0,18.0,0.6
15,28,9.0,10.6,18.3,0.67,0.0017,8500,12000,0.023,51102,15,28.0,16.0,0.3,23.0,20.0,0.3
15,32,12.0,15.9,25.0,0.915,0.0038,7000,10000,0.046,51202,15,32.0,17.0,0.6,25.0,22.0,0.6
17,30,9.0,11.4,21.2,0.78,0.0023,8500,12000,0.025,51103,17,30.0,18.0,0.3,25.0,22.0,0.3
17,35,12.0,16.3,27.0,1.0,0.0047,6700,9500,0.053,51203,17,35.0,19.0,0.6,28.0,24.0,0.6
20,35,10.0,15.1,29.0,1.08,0.0044,7500,10000,0.037,51104,20,35.0,21.0,0.3,29.0,26.0,0.3
20,40,14.0,21.2,37.5,1.4,0.0085,6000,8000,0.083,51204,20,40.0,22.0,0.6,32.0,28.0,0.6
25,42,11.0,18.2,39.0,1.43,0.0079,6300,9000,0.056,51105,25,42.0,26.0,0.6,35.0,32.0,0.6
25,47,15.0,26.5,50.0,1.86,0.015,5300,7500,0.11,51205,25,47.0,27.0,0.6,38.0,34.0,0.6
25,52,18.0,34.5,60.0,2.24,0.018,4500,6300,0.17,51305,25,52.0,27.0,1.0,41.0,36.0,1.0
25,60,24.0,42.3,67.0,2.45,0.048,3600,5000,0.34,51405,25,60.0,27.0,1.0,46.0,39.0,1.0
30,47,11.0,19.0,43.0,1.6,0.0096,6000,8500,0.063,51106,30,47.0,32.0,0.6,40.0,37.0,0.6
30,52,16.0,25.1,51.0,1.86,0.013,4800,6700,0.13,51206,30,52.0,32.0,0.6,43.0,39.0,0.6
30,60,21.0,35.8,65.5,2.4,0.026,3800,5300,0.26,51306,30,60.0,32.0,1.0,48.0,42.0,1.0
30,70,28.0,70.2,122.0,4.5,0.097,3000,4300,0.52,51406,30,70.0,32.0,1.0,54.0,46.0,1.0
35,52,12.0,19.9,51.0,1.86,0.013,5600,7500,0.08,51107,35,52.0,37.0,0.6,45.0,42.0,0.6
35,62,18.0,35.1,73.5,2.7,0.028,4000,5600,0.22,51207,35,62.0,37.0,1.0,51.0,46.0,1.0
35,68,24.0,49.4,96.5,3.55,0.048,3400,4800,0.39,51307,35,68.0,37.0,1.0,55.0,48.0,1.0
35,80,32.0,76.1,137.0,5.1,0.15,2600,3600,0.79,51407,35,80.0,37.0,1.1,62.0,53.0,1.0
40,60,13.0,25.5,63.0,2.32,0.02,5000,7000,0.12,51108,40,60.0,42.0,0.6,52.0,48.0,0.6
40,68,19.0,44.2,96.5,3.6,0.058,3800,5300,0.28,51208,40,68.0,42.0,1.0,57.0,51.0,1.0
40,78,26.0,61.8,122.0,4.5,0.077,3000,4300,0.53,51308,40,78.0,42.0,1.0,63.0,55.0,1.0
40,90,36.0,95.6,183.0,6.8,0.26,2400,3400,1.1,51408,40,90.0,42.0,1.1,70.0,60.0,1.0
45,65,14.0,26.5,69.5,2.55,0.025,4500,6300,0.14,51109,45,65.0,47.0,0.6,57.0,53.0,0.6
45,73,20.0,39.0,86.5,3.2,0.038,3600,5000,0.3,51209,45,73.0,47.0,1.0,62.0,56.0,1.0
45,85,28.0,76.1,153.0,5.6,0.12,2800,4000,0.66,51309,45,85.0,47.0,1.0,69.0,61.0,1.0
45,100,39.0,124.0,240.0,9.0,0.37,2200,3000,1.4,51409,45,100.0,47.0,1.1,78.0,67.0,1.0
50,70,14.0,27.0,75.0,2.8,0.029,4300,6300,0.16,51110,50,70.0,52.0,0.6,62.0,58.0,0.6
50,78,22.0,49.4,116.0,4.3,0.069,3400,4500,0.37,51210,50,78.0,52.0,1.0,67.0,61.0,1.0
50,95,31.0,81.9,170.0,6.3,0.19,2600,3600,0.94,51310,50,95.0,52.0,1.1,77.0,68.0,1.0
50,110,43.0,159.0,340.0,12.5,0.6,2000,2800,2.0,51410,50,110.0,52.0,1.5,86.0,74.0,1.5
55,78,16.0,30.2,81.5,3.0,0.039,3800,5300,0.23,51111,55,78.0,57.0,0.6,69.0,64.0,0.6
55,90,25.0,58.5,134.0,4.9,0.11,2800,4000,0.59,51211,55,90.0,57.0,1.0,76.0,69.0,1.0
55,105,35.0,101.0,224.0,8.3,0.26,2200,3200,1.3,51311,55,105.0,57.0,1.1,85.0,75.0,1.0
55,120,48.0,195.0,400.0,14.6,0.79,1800,2400,2.55,51411,55,120.0,57.0,1.5,94.0,81.0,1.5
60,85,17.0,41.6,122.0,4.55,0.077,3600,5000,0.27,51112,60,85.0,62.0,1.0,75.0,70.0,1.0
60,95,26.0,59.2,140.0,5.1,0.12,2800,3800,0.65,51212,60,95.0,62.0,1.0,81.0,74.0,1.0
60,110,35.0,101.0,224.0,8.3,0.26,2200,3000,1.35,51312,60,110.0,62.0,1.1,90.0,80.0,1.0
60,130,51.0,199.0,430.0,16.0,0.96,1600,2200,3.1,51412 M,60,130.0,62.0,1.5,102.0,88.0,1.5
65,90,18.0,37.7,108.0,4.0,0.06,3400,4800,0.33,51113,65,90.0,67.0,1.0,80.0,75.0,1.0
65,100,27.0,60.5,150.0,5.5,0.14,2600,3600,0.72,51213,65,100.0,67.0,1.0,86.0,79.0,1.0
65,115,36.0,106.0,240.0,8.8,0.3,2000,3000,1.5,51313,65,115.0,67.0,1.1,95.0,85.0,1.0
65,140,56.0,216.0,490.0,18.0,1.2,1500,2200,4.0,51413 M,65,140.0,68.0,2.0,110.0,95.0,2.0
70,95,18.0,40.3,120.0,4.4,0.074,3400,4500,0.35,51114,70,95.0,72.0,1.0,85.0,80.0,1.0
70,105,27.0,62.4,160.0,5.85,0.16,2600,3600,0.79,51214,70,105.0,72.0,1.0,91.0,84.0,1.0
70,125,40.0,135.0,320.0,11.8,0.53,1900,2600,2.0,51314,70,125.0,72.0,1.1,103.0,92.0,1.0
70,150,60.0,234.0,550.0,19.3,1.6,1400,2000,5.0,51414 M,70,150.0,73.0,2.0,118.0,102.0,2.0
75,100,19.0,44.2,134.0,4.9,0.11,3200,4300,0.4,51115,75,100.0,77.0,1.0,90.0,85.0,1.0
75,110,27.0,63.7,170.0,6.2,0.17,2400,3400,0.83,51215,75,110.0,77.0,1.0,96.0,89.0,1.0
75,135,44.0,163.0,390.0,14.0,0.79,1700,2400,2.6,51315,75,135.0,77.0,1.5,111.0,99.0,1.5
75,160,65.0,251.0,610.0,20.8,1.9,1300,1800,6.75,51415 M,75,160.0,78.0,2.0,126.0,109.0,2.0
80,105,19.0,44.9,140.0,5.1,0.12,3000,4300,0.42,51116,80,105.0,82.0,1.0,95.0,90.0,1.0
80,115,28.0,76.1,208.0,7.65,0.22,2400,3400,0.91,51216,80,115.0,82.0,1.0,101.0,94.0,1.0
80,140,44.0,159.0,390.0,13.7,0.79,1700,2400,2.7,51316,80,140.0,82.0,1.5,116.0,104.0,1.5
80,170,68.0,302.0,750.0,25.0,2.3,1200,1700,7.95,51416 M,80,170.0,83.0,2.1,133.0,117.0,2.0
85,110,19.0,44.9,146.0,5.4,0.14,3000,4300,0.44,51117,85,110.0,87.0,1.0,100.0,95.0,1.0
85,125,31.0,97.5,275.0,9.8,0.39,2200,3000,1.2,51217,85,125.0,88.0,1.0,109.0,101.0,1.0
85,150,49.0,174.0,405.0,14.0,1.1,1600,2200,3.55,51317,85,150.0,88.0,1.5,124.0,111.0,1.5
