d,D,H1,C,C0,Pu,Minimallastfaktor_A,Referenzdrehzahl,Grenzdrehzahl,Gewicht_Lager_und_Scheibe,Kurzzeichen_Lager,Kurzzeichen_Unteröegscheibe,d,d1,D1,D2,D3,H,C,R,s,r12_min,da_max,Da_max,ra_max
12,28,13,13.3,20.8,0.765,0.0022,8000,11000,0.045,53201,U 201,12,28,14,20,30,11.4,3.5,25,11.5,0.6,22,20,0.6
15,32,15,15.9,25.0,0.915,0.0038,7000,10000,0.063,53202,U 202,15,32,17,24,35,13.3,4.0,28,12.0,0.6,25,24,0.6
17,35,15,16.3,27.0,1.0,0.0047,6700,9500,0.071,53203,U 203,17,35,19,26,38,13.2,4.0,32,16.0,0.6,28,26,0.6
20,40,17,21.2,37.5,1.4,0.0085,5600,8000,0.1,53204,U 204,20,40,22,30,42,14.7,5.0,36,18.0,0.6,32,30,0.6
25,47,19,26.5,50.0,1.86,0.015,5000,7000,0.15,53205,U 205,25,47,27,36,50,16.7,5.5,40,19.0,0.6,38,36,0.6
30,52,20,25.1,51.0,1.86,0.013,4500,6300,0.18,53206,U 206,30,52,32,42,55,17.8,5.5,45,22.0,0.6,43,42,0.6
30,60,25,35.8,65.5,2.4,0.026,3800,5300,0.33,53306,U 306,30,60,32,45,62,22.6,7.0,50,22.0,1.0,48,45,1.0
35,62,22,35.1,73.5,2.7,0.028,4000,5600,0.28,53207,U 207,35,62,37,48,65,19.9,7.0,50,24.0,1.0,51,48,1.0
35,68,28,49.4,96.5,3.55,0.048,3200,4500,0.46,53307,U 307,35,68,37,52,72,25.6,7.5,56,24.0,1.0,55,52,1.0
40,68,23,44.2,96.5,3.6,0.058,3600,5300,0.35,53208,U 208,40,68,42,55,72,20.3,7.0,56,28.5,1.0,57,55,1.0
40,78,31,61.8,122.0,4.5,0.077,2800,4000,0.67,53308,U 308,40,78,42,60,82,28.5,8.5,64,28.0,1.0,63,60,1.0
40,90,42,95.6,183.0,6.8,0.26,2400,3200,1.35,53408,U 408,40,90,42,65,95,38.2,12.0,72,26.0,1.1,70,65,1.0
45,73,24,39.0,86.5,3.2,0.038,3400,4800,0.39,53209,U 209,45,73,47,60,78,21.3,7.5,56,26.0,1.0,62,60,1.0
