Fw,D,C,C_dynamisch,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,Fw,r12_min,Da_max,ra_max,passende_radial_wellendichtringe_mit_einer_Dichtlippe,passende_radial_wellendichtringe_mit_zwei_Dichtlippen,passende_radial_wellendichtringe_mit_einer_zugfederbelasteten_Dichtlippe
5,10,10,2.29,2.0,0.212,36000,40000,0.0031, NK 5/10 TN,5,0.15,8.8,0.1,G 5x10x2 S,-,-
5,10,12,2.92,2.7,0.29,36000,40000,0.0037, NK 5/12 TN,5,0.15,8.8,0.1,G 5x10x2 S,-,-
6,12,10,2.55,2.36,0.25,34000,38000,0.0047, NK 6/10 TN,6,0.15,10.8,0.1,G 6x12x2 S,-,-
6,12,12,3.3,3.2,0.345,34000,38000,0.0057, NK 6/12 TN,6,0.15,10.8,0.1,G 6x12x2 S,-,-
7,14,10,2.81,2.75,0.29,32000,36000,0.0069,NK 7/10 TN,7,0.3,12.0,0.3,G 7x14x2,-,-
7,14,12,3.58,3.75,0.415,32000,36000,0.0082,NK 7/12 TN,7,0.3,12.0,0.3,G 7x14x2,-,-
8,15,12,3.8,4.25,0.465,32000,36000,0.0087, NK 8/12 TN,8,0.3,13.0,0.3,G 8x15x3,SD 8x15x3,-
8,15,16,5.01,5.85,0.67,32000,36000,0.012, NK 8/16 TN,8,0.3,13.0,0.3,G 8x15x3,SD 8x15x3,-
9,16,12,4.4,5.2,0.57,30000,34000,0.01, NK 9/12 TN,9,0.3,14.0,0.3,G 9x16x3,-,-
9,16,16,5.72,7.2,0.815,30000,34000,0.013,NK 9/16 TN,9,0.3,14.0,0.3,G 9x16x3,-,-
10,17,12,4.57,5.7,0.63,28000,32000,0.01, NK 10/12 TN,10,0.3,15.0,0.3,G 10x17x3,SD 10x17x3,-
10,17,16,5.94,8.0,0.9,28000,32000,0.013, NK 10/16 TN,10,0.3,15.0,0.3,G 10x17x3,SD 10x17x3,-
12,19,12,6.71,8.15,0.965,26000,30000,0.012, NK 12/12,12,0.3,17.0,0.3,G 12x19x3,SD 12x19x3,-
12,19,16,9.13,12.0,1.43,26000,30000,0.016, NK 12/16,12,0.3,17.0,0.3,G 12x19x3,SD 12x19x3,-
14,22,13,7.37,8.15,0.965,-,12000,0.016, RNA 4900.2RS,14,0.3,20.0,0.3,-,-,-
14,22,13,8.8,10.4,1.22,24000,28000,0.017, RNA 4900,14,0.3,20.0,0.3,G 14x22x3,SD 14x22x3,-
14,22,16,10.2,12.5,1.5,24000,28000,0.021, NK 14/16,14,0.3,20.0,0.3,G 14x22x3,SD 14x22x3,-
14,22,20,12.8,16.6,2.0,24000,28000,0.026, NK 14/20,14,0.3,20.0,0.3,G 14x22x3,SD 14x22x3,-
15,23,16,11.0,14.0,1.66,24000,26000,0.022, NK 15/16,15,0.3,21.0,0.3,G 15x23x3,SD 15x23x3,-
15,23,20,13.8,18.3,2.2,24000,26000,0.027, NK 15/20,15,0.3,21.0,0.3,G 15x23x3,SD 15x23x3,-
16,24,13,8.09,9.65,1.14,-,11000,0.018, RNA 4901.2RS,16,0.3,22.0,0.3,-,-,-
16,24,13,9.9,12.2,1.46,22000,26000,0.017, RNA 4901,16,0.3,22.0,0.3,G 16x24x3,SD 16x24x3,-
16,24,16,11.7,15.3,1.8,22000,26000,0.022, NK 16/16,16,0.3,22.0,0.3,G 16x24x3,SD 16x24x3,-
16,24,20,14.5,20.0,2.4,22000,26000,0.028, NK 16/20,16,0.3,22.0,0.3,G 16x24x3,SD 16x24x3,-
16,24,22,16.1,23.2,2.75,22000,26000,0.031, RNA 6901,16,0.3,22.0,0.3,G 16x24x3,SD 16x24x3,-
17,25,16,12.1,16.6,1.96,22000,26000,0.024, NK 17/16,17,0.3,23.0,0.3,G 17x25x3,SD 17x25x3,-
17,25,20,15.1,22.0,2.65,22000,26000,0.03, NK 17/20,17,0.3,23.0,0.3,G 17x25x3,SD 17x25x3,-
18,26,16,12.8,17.6,2.12,22000,24000,0.025, NK 18/16,18,0.3,24.0,0.3,G 18x26x4,SD 18x26x4,-
18,26,20,16.1,23.6,2.85,22000,24000,0.031, NK 18/20,18,0.3,24.0,0.3,G 18x26x4,SD 18x26x4,-
19,27,16,13.4,19.0,2.28,20000,24000,0.026, NK 19/16,19,0.3,25.0,0.3,G 19x27x4,SD 19x27x4,-
19,27,20,16.5,25.5,3.05,20000,24000,0.032,NK 19/20,19,0.3,25.0,0.3,G 19x27x4,SD 19x27x4,-
20,28,13,9.13,12.0,1.43,-,9500,0.022, RNA 4902.2RS,20,0.3,26.0,0.3,-,-,-
20,28,13,11.2,15.3,1.83,19000,22000,0.022, RNA 4902,20,0.3,26.0,0.3,G 20x28x4,SD 20x28x4,-
20,28,16,13.2,19.3,2.28,19000,22000,0.027, NK 20/16,20,0.3,26.0,0.3,G 20x28x4,SD 20x28x4,-
20,28,20,16.5,25.5,3.05,19000,22000,0.034, NK 20/20,20,0.3,26.0,0.3,G 20x28x4,SD 20x28x4,-
20,28,23,17.2,27.0,3.35,19000,22000,0.04, RNA 6902,20,0.3,26.0,0.3,G 20x28x4,SD 20x28x4,-
20,32,20,23.3,27.0,3.25,18000,20000,0.049, NKS 20,20,0.6,28.0,0.6,-,-,20x32x7 HMS5 RG
21,29,16,13.8,20.4,2.45,19000,22000,0.028,NK 21/16,21,0.3,27.0,0.3,G 21x29x4,-,-
21,29,20,17.2,27.0,3.35,19000,22000,0.035,NK 21/20,21,0.3,27.0,0.3,G 21x29x4,-,-
22,30,13,9.52,12.9,1.53,-,9000,0.023,RNA 4903.2RS,22,0.3,28.0,0.3,-,-,-
22,30,13,11.4,16.3,1.96,18000,20000,0.022, RNA 4903,22,0.3,28.0,0.3,G 22x30x4,SD 22x30x4,-
22,30,16,14.2,21.6,2.6,18000,20000,0.03, NK 22/16,22,0.3,28.0,0.3,G 22x30x4,SD 22x30x4,-
22,30,20,17.9,29.0,3.55,18000,20000,0.037, NK 22/20,22,0.3,28.0,0.3,G 22x30x4,SD 22x30x4,-
22,30,23,18.7,30.5,3.75,18000,20000,0.042, RNA 6903,22,0.3,28.0,0.3,G 22x30x4,SD 22x30x4,-
24,32,16,15.4,24.5,2.9,16000,19000,0.032, NK 24/16,24,0.3,30.0,0.3,G 24x32x4,SD 24x32x4,-
24,32,20,19.0,32.5,4.0,16000,19000,0.04, NK 24/20,24,0.3,30.0,0.3,G 24x32x4,SD 24x32x4,-
24,37,20,26.0,33.5,4.0,15000,17000,0.066,NKS 24,24,0.6,33.0,0.6,-,-,24x37x7 HMS5 RG
25,33,16,15.1,24.5,2.9,16000,18000,0.033, NK 25/16,25,0.3,31.0,0.3,G 25x33x4,SD 25x33x4,-
25,33,20,19.0,32.5,4.0,16000,18000,0.042, NK 25/20,25,0.3,31.0,0.3,G 25x33x4,SD 25x33x4,-
25,37,17,19.4,22.4,2.65,-,7500,0.056, RNA 4904.2RS,25,0.3,35.0,0.3,-,-,-
25,37,17,21.6,28.0,3.35,15000,17000,0.052, RNA 4904,25,0.3,35.0,0.3,-,-,25x37x5 HMS5 RG
25,37,30,35.2,53.0,6.55,15000,17000,0.1, RNA 6904,25,0.3,35.0,0.3,-,-,25x37x5 HMS5 RG
25,38,20,27.5,36.0,4.4,15000,17000,0.068, NKS 25,25,0.6,34.0,0.6,-,-,25x38x7 HMS5 RG
26,34,16,15.7,26.0,3.1,15000,17000,0.034, NK 26/16,26,0.3,32.0,0.3,G 26x34x4,SD 26x34x4,-
26,34,20,19.4,34.5,4.25,15000,17000,0.042, NK 26/20,26,0.3,32.0,0.3,G 26x34x4,SD 26x34x4,-
28,37,20,22.0,36.5,4.55,14000,16000,0.052, NK 28/20,28,0.3,35.0,0.3,G 28x37x4,-,-
28,37,30,31.9,60.0,7.5,14000,16000,0.082, NK 28/30,28,0.3,35.0,0.3,G 28x37x4,-,-
28,39,17,23.3,32.0,3.9,14000,15000,0.05,RNA 49/22,28,0.3,37.0,0.3,-,-,-
28,39,30,36.9,57.0,7.2,14000,15000,0.098,RNA 69/22,28,0.3,37.0,0.3,-,-,-
28,42,20,28.6,39.0,4.75,13000,15000,0.084,NKS 28,28,0.6,38.0,0.6,-,-,28x42x7 HMS5 RG
29,38,20,24.6,42.5,5.2,14000,15000,0.05,NK 29/20 TN,29,0.3,36.0,0.3,G 29x38x4,-,-
