d,D,B,C,C_dynamisch,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,F,r12_min,s_max,da_min,Da_max,ra_max
5,15,12,-,3.8,4.25,0.465,32000,36000,0.012, NKI 5/12 TN,5,8,0.3,1.5,7.0,13.0,0.3
5,15,16,-,5.01,5.85,0.67,32000,36000,0.015,NKI 5/16 TN,5,8,0.3,2.0,7.0,13.0,0.3
6,16,12,-,4.4,5.2,0.57,30000,34000,0.014, NKI 6/12 TN,6,9,0.3,1.5,8.0,14.0,0.3
6,16,16,-,5.72,7.2,0.815,30000,34000,0.017, NKI 6/16 TN,6,9,0.3,2.0,8.0,14.0,0.3
7,17,12,-,4.57,5.7,0.63,28000,32000,0.014,NKI 7/12 TN,7,10,0.3,1.5,9.0,15.0,0.3
7,17,16,-,5.94,8.0,0.9,28000,32000,0.018,NKI 7/16 TN,7,10,0.3,2.0,9.0,15.0,0.3
9,19,12,-,6.71,8.15,0.965,26000,30000,0.017, NKI 9/12,9,12,0.3,1.5,11.0,17.0,0.3
9,19,16,-,9.13,12.0,1.43,26000,30000,0.022, NKI 9/16,9,12,0.3,2.0,11.0,17.0,0.3
10,22,13,-,8.8,10.4,1.22,24000,28000,0.024, NA 4900,10,14,0.3,0.5,12.0,20.0,0.3
10,22,14,13,7.37,8.15,0.965,-,12000,0.025, NA 4900.2RS,10,14,0.3,0.5,12.0,20.0,0.3
10,22,16,-,10.2,12.5,1.5,24000,28000,0.029, NKI 10/16,10,14,0.3,0.5,12.0,20.0,0.3
10,22,20,-,12.8,16.6,2.0,24000,28000,0.037, NKI 10/20,10,14,0.3,0.5,12.0,20.0,0.3
12,24,13,-,9.9,12.2,1.46,22000,26000,0.026, NA 4901,12,16,0.3,0.5,14.0,22.0,0.3
12,24,14,13,8.09,9.65,1.14,-,11000,0.028, NA 4901.2RS,12,16,0.3,0.5,14.0,22.0,0.3
12,24,16,-,11.7,15.3,1.8,22000,26000,0.033, NKI 12/16,12,16,0.3,0.5,14.0,22.0,0.3
12,24,20,-,14.5,20.0,2.4,22000,26000,0.042, NKI 12/20,12,16,0.3,0.5,14.0,22.0,0.3
12,24,22,-,16.1,23.2,2.75,22000,26000,0.046, NA 6901,12,16,0.3,1.0,14.0,22.0,0.3
15,27,16,-,13.4,19.0,2.28,20000,24000,0.039, NKI 15/16,15,19,0.3,0.5,17.0,25.0,0.3
15,27,20,-,16.5,25.5,3.05,20000,24000,0.049, NKI 15/20,15,19,0.3,0.5,17.0,25.0,0.3
15,28,13,-,11.2,15.3,1.83,19000,22000,0.034, NA 4902,15,20,0.3,0.5,17.0,26.0,0.3
15,28,14,13,9.13,12.0,1.43,-,9500,0.037, NA 4902.2RS,15,20,0.3,0.5,17.0,26.0,0.3
15,28,23,-,17.2,27.0,3.35,19000,22000,0.064, NA 6902,15,20,0.3,1.0,17.0,26.0,0.3
15,35,20,-,24.6,30.0,3.65,16000,19000,0.092,NKIS 15,15,22,0.6,0.5,19.0,31.0,0.6
17,29,16,-,13.8,20.4,2.45,19000,22000,0.042, NKI 17/16,17,21,0.3,0.5,19.0,27.0,0.3
17,29,20,-,17.2,27.0,3.35,19000,22000,0.053, NKI 17/20,17,21,0.3,0.5,19.0,27.0,0.3
17,30,13,-,11.4,16.3,1.96,18000,20000,0.038, NA 4903,17,22,0.3,0.5,19.0,28.0,0.3
17,30,14,13,9.52,12.9,1.53,-,9000,0.04, NA 4903.2RS,17,22,0.3,0.5,19.0,28.0,0.3
17,30,23,-,18.7,30.5,3.75,18000,20000,0.072, NA 6903,17,22,0.3,1.0,19.0,28.0,0.3
17,37,20,-,26.0,33.5,4.0,15000,17000,0.098, NKIS 17,17,24,0.6,0.5,21.0,33.0,0.6
20,32,16,-,15.4,24.5,2.9,16000,19000,0.048, NKI 20/16,20,24,0.3,0.5,22.0,30.0,0.3
20,32,20,-,19.0,32.5,4.0,16000,19000,0.06, NKI 20/20,20,24,0.3,0.5,22.0,30.0,0.3
20,37,17,-,21.6,28.0,3.35,15000,17000,0.075, NA 4904,20,25,0.3,0.8,22.0,35.0,0.3
20,37,18,17,19.4,22.4,2.65,-,7500,0.08, NA 4904.2RS,20,25,0.3,0.5,22.0,35.0,0.3
20,37,30,-,35.2,53.0,6.55,15000,17000,0.14, NA 6904,20,25,0.3,1.0,22.0,35.0,0.3
20,42,20,-,28.6,39.0,4.75,13000,15000,0.13,NKIS 20,20,28,0.6,0.5,24.0,38.0,0.6
22,34,16,-,15.7,26.0,3.1,15000,17000,0.052, NKI 22/16,22,26,0.3,0.5,24.0,32.0,0.3
22,34,20,-,19.4,34.5,4.25,15000,17000,0.065, NKI 22/20,22,26,0.3,0.5,24.0,32.0,0.3
22,39,17,-,23.3,32.0,3.9,14000,15000,0.08, NA 49/22,22,28,0.3,0.8,24.0,37.0,0.3
22,39,30,-,36.9,57.0,7.2,14000,15000,0.15, NA 69/22,22,28,0.3,0.5,24.0,37.0,0.3
25,38,20,-,24.6,42.5,5.2,14000,15000,0.08, NKI 25/20 TN,25,29,0.3,1.0,27.0,36.0,0.3
25,38,30,-,31.9,60.0,7.5,14000,15000,0.12, NKI 25/30,25,29,0.3,1.5,27.0,36.0,0.3
25,42,17,-,24.2,34.5,4.15,13000,15000,0.088, NA 4905,25,30,0.3,0.8,27.0,40.0,0.3
25,42,18,17,21.6,27.5,3.25,-,6300,0.09, NA 4905.2RS,25,30,0.3,0.5,27.0,40.0,0.3
25,42,30,-,38.0,62.0,7.65,13000,15000,0.16, NA 6905,25,30,0.3,1.0,27.0,40.0,0.3
25,47,22,-,34.1,46.5,5.7,12000,13000,0.16,NKIS 25,25,32,0.6,1.0,29.0,43.0,0.6
28,42,20,-,26.4,48.0,6.0,12000,14000,0.092, NKI 28/20 TN,28,32,0.3,1.0,30.0,40.0,0.3
