d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_mit_zylindrischer_Bohrng,Kurzzeichen_Lager_mit_kegeliger_Bohrung,d,d1d2,D1D2,C1,b,K,r12_min,da_min,da_max,Da_max,ra_max,kr,e,Y1,Y2,Y0
5,19,6,2.51,0.48,0.025,63000,45000,0.009,135 TN9,-,5,10.3,15.4,-,-,-,0.3,7.4,-,16.6,0.3,0.045,0.33,1.9,3.0,2.0
6,19,6,2.51,0.48,0.025,70000,45000,0.009,126 TN9,-,6,10.3,15.4,-,-,-,0.3,8.4,-,16.6,0.3,0.04,0.33,1.9,3.0,2.0
7,22,7,2.65,0.56,0.029,63000,40000,0.014,127 TN9,-,7,12.7,17.6,-,-,-,0.3,9.4,-,19.6,0.3,0.04,0.33,1.9,3.0,2.0
8,22,7,2.65,0.56,0.029,60000,40000,0.014,108 TN9,-,8,12.7,17.6,-,-,-,0.3,10.4,-,19.6,0.3,0.03,0.33,1.9,3.0,2.0
9,26,8,3.9,0.82,0.043,60000,38000,0.022,129 TN9,-,9,14.8,20.4,-,-,-,0.3,11.4,-,23.6,0.3,0.04,0.33,1.9,3.0,2.0
10,30,9,5.53,1.18,0.061,56000,36000,0.034,1200 ETN9,-,10,16.5,23.5,-,-,-,0.6,14.2,-,25.8,0.6,0.04,0.33,1.9,3.0,2.0
10,30,14,5.53,1.18,0.06,-,17000,0.048,2200 E-2RS1TN9,-,10,14.6,24.8,-,-,-,0.6,14.0,14,25.8,0.6,0.045,0.33,1.9,3.0,2.0
10,30,14,8.06,1.73,0.09,50000,34000,0.047,2200 ETN9,-,10,15.3,24.3,-,-,-,0.6,14.2,-,25.8,0.6,0.045,0.54,1.15,1.8,1.3
12,32,10,6.24,1.43,0.072,50000,32000,0.04,1201 ETN9,-,12,18.2,25.7,-,-,-,0.6,16.2,-,27.8,0.6,0.04,0.33,1.9,3.0,2.0
12,32,14,6.24,1.43,0.08,-,16000,0.053,2201 E-2RS1TN9,-,12,15.5,27.4,-,-,-,0.6,15.5,15.5,27.8,0.6,0.045,0.33,1.9,3.0,2.0
12,32,14,8.52,1.9,0.098,45000,30000,0.053,2201 ETN9,-,12,17.4,26.4,-,-,-,0.6,16.2,-,27.8,0.6,0.045,0.5,1.25,2.0,1.3
12,37,12,9.36,2.16,0.12,40000,28000,0.067,1301 ETN9,-,12,20.2,29.5,-,-,-,1.0,17.6,-,31.4,1.0,0.04,0.35,1.8,2.8,1.8
12,37,17,11.7,2.7,0.14,38000,28000,0.095,2301,-,12,18.9,29.1,-,-,-,1.0,17.6,-,31.4,1.0,0.05,0.6,1.05,1.6,1.1
15,35,11,7.41,1.76,0.09,45000,28000,0.049,1202 ETN9,-,15,21.1,28.9,-,-,-,0.6,19.2,-,30.8,0.6,0.04,0.33,1.9,3.0,2.0
15,35,14,7.41,1.76,0.09,-,14000,0.058,2202 E-2RS1TN9,-,15,19.0,30.4,-,-,-,0.6,19.0,19,30.8,0.6,0.045,0.33,1.9,3.0,2.0
15,35,14,8.71,2.04,0.11,38000,26000,0.06,2202 ETN9,-,15,20.8,29.5,-,-,-,0.6,19.2,-,30.8,0.6,0.045,0.43,1.5,2.3,1.6
15,42,13,10.8,2.6,0.14,34000,24000,0.094,1302 ETN9,-,15,23.9,34.3,-,-,-,1.0,20.6,-,36.4,1.0,0.04,0.31,2.0,3.1,2.2
15,42,17,10.8,2.6,0.14,-,12000,0.11,2302 E-2RS1TN9,-,15,20.3,36.3,-,-,-,1.0,20.0,20,36.4,1.0,0.05,0.31,2.0,3.1,2.2
15,42,17,11.9,2.9,0.15,32000,24000,0.12,2302,-,15,23.1,33.3,-,-,-,1.0,20.6,-,36.4,1.0,0.05,0.52,1.2,1.9,1.3
17,40,12,8.84,2.2,0.12,38000,24000,0.073,1203 ETN9,-,17,24.0,32.9,-,-,-,0.6,21.2,-,35.8,0.6,0.04,0.31,2.0,3.1,2.2
17,40,16,8.84,2.2,0.12,-,12000,0.089,2203 E-2RS1TN9,-,17,21.1,35.0,-,-,-,0.6,21.0,21,35.8,0.6,0.045,0.31,2.0,3.1,2.2
17,40,16,10.6,2.55,0.14,34000,24000,0.088,2203 ETN9,-,17,23.8,33.4,-,-,-,0.6,21.2,-,35.8,0.6,0.045,0.43,1.5,2.3,1.6
17,47,14,12.7,3.4,0.18,28000,20000,0.12,1303 ETN9,-,17,28.8,40.0,-,-,-,1.0,22.6,-,41.4,1.0,0.04,0.3,2.1,3.3,2.2
17,47,19,12.7,3.4,0.18,-,11000,0.16,2303 E-2RS1TN9,-,17,25.5,41.3,-,-,-,1.0,22.0,25.5,41.4,1.0,0.05,0.3,2.1,3.3,2.2
17,47,19,14.3,3.55,0.19,30000,22000,0.18,2303 M,-,17,26.1,37.2,-,-,-,1.0,22.6,-,41.4,1.0,0.05,0.52,1.2,1.9,1.3
20,47,14,12.7,3.4,0.18,32000,20000,0.12,1204 ETN9,1204 EKTN9,20,28.8,40.0,-,-,-,1.0,25.6,-,41.4,1.0,0.04,0.3,2.1,3.3,2.2
20,47,18,12.7,3.4,0.18,-,10000,0.14,2204 E-2RS1TN9,-,20,25.9,41.3,-,-,-,1.0,25.0,25.5,41.4,1.0,0.045,0.3,2.1,3.3,2.2
20,47,18,16.8,4.15,0.22,28000,20000,0.14,2204 ETN9,-,20,27.3,40.0,-,-,-,1.0,25.6,-,41.4,1.0,0.045,0.4,1.6,2.4,1.6
20,52,15,14.3,4.0,0.21,26000,18000,0.16,1304 ETN9,-,20,33.3,44.6,-,-,-,1.0,27.0,-,45.0,1.0,0.04,0.28,2.2,3.5,2.5
20,52,21,14.3,4.0,0.21,-,9000,0.21,2304 E-2RS1TN9,-,20,28.6,46.3,-,-,-,1.1,26.5,28.5,45.0,1.1,0.05,0.28,2.2,3.5,2.5
20,52,21,18.2,4.75,0.24,26000,19000,0.22,2304 TN9,-,20,29.1,41.9,-,-,-,1.1,27.0,-,45.0,1.1,0.05,0.52,1.2,1.9,1.3
25,52,15,14.3,4.0,0.21,28000,18000,0.14,1205 ETN9,1205 EKTN9,25,33.3,44.6,-,-,-,1.0,30.6,-,46.4,1.0,0.04,0.28,2.2,3.5,2.5
25,52,18,14.3,4.0,0.21,-,9000,0.16,2205 E-2RS1TN9,2205 E-2RS1KTN9,25,31.0,46.3,-,-,-,1.0,30.6,31,46.4,1.0,0.045,0.28,2.2,3.5,2.5
25,52,18,16.8,4.4,0.23,26000,18000,0.16,2205 ETN9,2205 EKTN9,25,32.2,45.1,-,-,-,1.0,30.6,-,46.4,1.0,0.045,0.35,1.8,2.8,1.8
25,62,17,19.0,5.4,0.28,22000,15000,0.26,1305 ETN9,1305 EKTN9,25,38.0,50.7,-,-,-,1.1,32.0,-,55.0,1.1,0.04,0.28,2.2,3.5,2.5
25,62,24,19.0,5.4,0.28,-,7500,0.34,2305 E-2RS1TN9,2305 E-2RS1KTN9,25,32.8,52.7,-,-,-,1.1,32.0,32.5,55.0,1.1,0.05,0.28,2.2,3.5,2.5
25,62,24,27.0,7.1,0.37,22000,16000,0.34,2305 ETN9,2305 EKTN9,25,35.5,52.3,-,-,-,1.1,32.0,-,55.0,1.1,0.05,0.44,1.4,2.2,1.4
30,62,16,15.6,4.65,0.24,24000,15000,0.22,1206 ETN9,1206 EKTN9,30,40.3,51.9,-,-,-,1.0,35.6,-,56.4,1.0,0.04,0.25,2.5,3.9,2.5
30,62,20,15.6,4.65,0.24,-,7500,0.26,2206 E-2RS1TN9,2206 E-2RS1KTN9,30,36.7,54.1,-,-,-,1.0,35.6,36.5,56.4,1.0,0.045,0.25,2.5,3.9,2.5
30,62,20,23.8,6.7,0.35,22000,15000,0.26,2206 ETN9,2206 EKTN9,30,38.7,54.0,-,-,-,1.0,35.6,-,56.4,1.0,0.045,0.33,1.9,3.0,2.0
30,72,19,22.5,6.8,0.36,19000,13000,0.39,1306 ETN9,1306 EKTN9,30,45.1,59.1,-,-,-,1.1,37.0,-,65.0,1.1,0.04,0.25,2.5,3.9,2.5
