d,D,B,da_max,db_min,Ba_min,Gewicht_Lager_und_Hülse,Kurzzeichen_Lager,Kurzzeichen_Spannhülse
17,47,14,28.5,23,5,0.16,1204 EKTN9,H 204
20,52,15,33,28,5,0.21,1205 EKTN9,H 205
20,52,18,31,28,5,0.23,2205 E-2RS1KTN9,H 305 E
20,52,18,32,28,5,0.23,2205 EKTN9,H 305
20,62,17,37,28,6,0.33,1305 EKTN9,H 305
20,62,24,32.5,29,5,0.42,2305 E-2RS1KTN9,H 2305
20,62,24,35.5,29,5,0.42,2305 EKTN9,H 2305
25,62,16,40,33,5,0.32,1206 EKTN9,H 206
25,62,20,36.5,33,5,0.36,2206 E-2RS1KTN9,H 306 E
25,62,20,38,33,5,0.36,2206 EKTN9,H 306
25,72,19,44,33,6,0.49,1306 EKTN9,H 306
25,72,27,40,35,5,0.62,2306 E-2RS1KTN9,H 2306
25,72,27,41,35,5,0.61,2306 K,H 2306
30,72,17,47,38,5,0.44,1207 EKTN9,H 207
30,72,23,42.5,39,5,0.55,2207 E-2RS1KTN9,H 307 E
30,72,23,45,39,5,0.54,2207 EKTN9,H 307
30,80,21,51,39,7,0.65,1307 EKTN9,H 307
30,80,31,43.5,40,5,0.86,2307 E-2RS1KTN9,H 2307 E
30,80,31,46,40,5,0.84,2307 EKTN9,H 2307
35,80,18,53,43,6,0.58,1208 EKTN9,H 208
35,80,23,49,44,6,0.67,2208 E-2RS1KTN9,H 308 E
35,80,23,52,44,6,0.58,2208 EKTN9,H 308
35,90,23,61,44,6,0.85,1308 EKTN9,H 308
35,90,33,53,45,6,1.1,2308 EKTN9,H 2308
35,90,33,55,45,6,1.2,2308 E-2RS1KTN9,H 2308
40,85,19,57,48,6,0.68,1209 EKTN9,H 209
40,85,23,53,50,8,0.76,2209 E-2RS1KTN9,H 309 E
40,85,23,55,50,8,0.78,2209 EKTN9,H 309
40,100,25,67,50,6,1.2,1309 EKTN9,H 309
40,100,36,60,50,6,1.4,2309 EKTN9,H 2309
40,100,36,60.5,50,6,1.55,2309 E-2RS1KTN9,H 2309
45,90,20,62,53,6,0.77,1210 EKTN9,H 210
45,90,23,58,55,10,0.84,2210 E-2RS1KTN9,H 310 E
45,90,23,61,55,10,0.87,2210 EKTN9,H 310
45,110,27,70,55,6,1.45,1310 EKTN9,H 310
45,110,40,62.5,56,6,2,2310 E-2RS1KTN9,H 2310
45,110,40,65,56,6,1.9,2310 K,H 2310
50,100,21,70,60,7,0.99,1211 EKTN9,H 211
50,100,25,65.5,60,11,1.1,2211 E-2RS1KTN9,H 311 E
50,100,25,67,60,11,1.15,2211 EKTN9,H 311
50,120,29,77,60,7,1.9,1311 EKTN9,H 311
50,120,43,72,61,7,2.4,2311 K,H 2311
55,110,22,78,64,7,1.2,1212 EKTN9,H 212
55,110,28,73,65,9,1.4,2212 E-2RS1KTN9,H 312 E
55,110,28,74,65,9,1.45,2212 EKTN9,H 312
55,130,31,87,65,7,2.15,1312 EKTN9,H 312
55,130,46,76,66,7,2.95,2312 K,H 2312
60,120,23,85,70,7,1.45,1213 EKTN9,H 213
60,120,31,79,70,7,1.75,2213 E-2RS1KTN9,H 313 E
60,120,31,80,70,9,1.8,2213 EKTN9,H 313
60,140,33,98,70,7,2.85,1313 EKTN9,H 313
60,140,48,85,72,7,3.6,2313 K,H 2313
65,130,25,93,80,7,2,1215 K,H 215
65,130,31,93,80,13,2.3,2215 EKTN9,H 315
65,160,37,104,80,7,4.2,1315 K,H 315
65,160,55,97,82,7,5.55,2315 K,H 2315
70,140,26,101,85,7,2.4,1216 K,H 216
70,140,33,99,85,13,2.85,2216 EKTN9,H 316
70,170,39,109,85,7,5,1316 K,H 316
70,170,58,104,88,7,7.1,2316 K,H 2316
75,150,28,107,90,8,2.95,1217 K,H 217
75,150,36,105,91,13,3.3,2217 K,H 317
75,180,41,117,91,8,6,1317 K,H 317
80,160,30,112,95,8,3.5,1218 K,H 218
80,160,40,112,96,11,5.5,2218 K,H 318
80,190,43,122,96,8,6.9,1318 K,H 318
80,190,64,115,100,8,9.8,2318 K,H 2318
85,170,32,120,100,8,4.25,1219 K,H 219
85,170,43,118,102,10,5.3,2219 K,H 319
85,200,45,127,102,8,7.9,1319 K,H 319
85,200,67,128,105,8,11.5,2319 KM,H 2319
90,180,34,127,106,8,5,1220 K,H 220
90,180,46,124,108,9,6.4,2220 K,H 320
90,215,47,136,108,8,9.65,1320 K,H 320
90,215,73,130,110,8,14,2320 K,H 2320
100,200,38,140,116,8,6.8,1222 K,H 222
100,200,53,137,118,8,13.5,1322 KM,H 322
100,240,50,154,118,10,13.5,1322 KM,H 322
110,215,42,150,127,12,8.3,1224 KM,H 3024
115,230,46,163,137,15,11,1226 KM,H 30268
