d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_zylindrische_Bohrung,Kurzzeichen_Lager_kegelige_Bohrung,d,d2,D1,b,K,r12_min,da_min,da_max,Da_max,ra_max,e,Y1,Y2,Y0,zulässige_Drehbeschleunigungen_bei_Ölschmierung,zulässige_Linearbeschleunigungen_bei_Ölschmierung
20,52,18.0,49.9,44.0,4.75,13000,17000,0.28,22205/20 E,-,20,31.3,44.2,3.7,2,1.0,25.6,-,46.4,1.0,0.35,1.9,2.9,1.8,-,-
25,52,18.0,49.9,44.0,4.75,13000,17000,0.26,22205 E,22205 EK,25,31.3,44.2,3.7,2,1.0,30.6,-,46.4,1.0,0.35,1.9,2.9,1.8,-,-
25,52,23.0,49.9,44.0,4.75,-,6100,0.26, BS2-2205-2RS/VT143,-,25,30.0,46.6,4.4,2,1.0,30.0,30,46.4,1.0,0.35,1.9,2.9,1.8,-,-
25,62,17.0,49.1,41.5,4.55,9300,12000,0.28,21305 CC,-,25,35.7,50.7,-,-,1.1,32.0,-,55.0,1.0,0.3,2.3,3.4,2.2,-,-
30,62,20.0,66.1,60.0,6.4,10000,14000,0.29,22206 E,22206 EK,30,37.6,53.0,3.7,2,1.0,35.6,-,56.4,1.0,0.31,2.2,3.3,2.2,-,-
30,62,25.0,66.1,60.0,6.4,-,5100,0.34, BS2-2206-2RS/VT143,-,30,35.8,56.4,4.4,2,1.0,35.5,35.5,56.4,1.0,0.31,2.2,3.3,2.2,-,-
30,72,19.0,65.7,61.0,6.8,8200,10000,0.41,21306 CC,-,30,43.3,58.8,-,-,1.1,37.0,-,65.0,1.0,0.27,2.5,3.7,2.5,-,-
35,72,23.0,88.8,85.0,9.3,9000,12000,0.45,22207 E,22207 EK,35,44.5,61.8,3.7,2,1.1,42.0,-,65.0,1.0,0.31,2.2,3.3,2.2,-,-
35,72,28.0,88.8,85.0,9.3,-,4300,0.52, BS2-2207-2RS/VT143,-,35,42.4,65.3,4.4,2,1.1,42.0,42,65.0,1.0,0.31,2.2,3.3,2.2,-,-
35,80,21.0,79.2,72.0,8.15,7300,9500,0.55,21307 CC,-,35,47.2,65.6,-,-,1.5,44.0,-,71.0,1.5,0.28,2.4,3.6,2.5,-,-
40,80,23.0,98.5,90.0,9.8,8000,11000,0.53,22208 E,22208 EK,40,49.6,69.4,6,3,1.1,47.0,-,73.0,1.0,0.28,2.4,3.6,2.5,-,-
40,80,28.0,98.5,90.0,9.8,-,3900,0.57, BS2-2208-2RS/VT143, BS2-2208-2RSK/VT143,40,47.2,72.8,6,3,1.1,47.0,47,73.0,1.0,0.28,2.4,3.6,2.5,-,-
40,90,23.0,107.0,108.0,11.8,7000,9500,0.75,21308 E,21308 EK,40,60.0,79.8,5.5,3,1.5,49.0,-,81.0,1.5,0.24,2.8,4.2,2.8,-,-
40,90,33.0,155.0,140.0,15.0,6000,8000,1.05,22308 E/VA405,-,40,49.9,74.3,6,3,1.5,49.0,-,81.0,1.5,0.37,1.8,2.7,1.8,115 g,31 g
40,90,33.0,155.0,140.0,15.0,6000,8000,1.05,22308 E,22308 EK,40,49.9,74.3,6,3,1.5,49.0,-,81.0,1.5,0.37,1.8,2.7,1.8,-,-
40,90,38.0,155.0,140.0,15.0,-,3900,1.2, BS2-2308-2RS/VT143,-,40,47.5,79.3,6,3,1.5,47.5,47.5,81.0,1.5,0.37,1.8,2.7,1.8,-,-
45,85,23.0,104.0,98.0,10.8,7500,10000,0.58,22209 E,22209 EK,45,54.4,74.4,5.5,3,1.1,52.0,-,78.0,1.0,0.26,2.6,3.9,2.5,-,-
45,85,28.0,104.0,98.0,10.8,-,3500,0.66, BS2-2209-2RS/VT143, BS2-2209-2RSK/VT143,45,52.5,77.8,6,3,1.1,52.0,52,78.0,1.0,0.26,2.6,3.9,2.5,-,-
45,100,25.0,129.0,127.0,13.7,6300,8500,0.99,21309 E,21309 EK,45,65.3,88.0,6,3,1.5,54.0,-,91.0,1.5,0.24,2.8,4.2,2.8,-,-
45,100,36.0,190.0,183.0,19.6,5300,7000,1.4,22309 E/VA405,-,45,57.6,83.4,6,3,1.5,54.0,-,91.0,1.5,0.37,1.8,2.7,1.8,97 g,29 g
45,100,36.0,190.0,183.0,19.6,5300,7000,1.4,22309 E,22309 EK,45,57.6,83.4,6,3,1.5,54.0,-,91.0,1.5,0.37,1.8,2.7,1.8,-,-
45,100,42.0,190.0,183.0,19.6,-,3400,1.6, BS2-2309-2RS/VT143,-,45,55.0,88.5,6,3,1.5,54.0,55,91.0,1.5,0.37,1.8,2.7,1.8,-,-
50,90,23.0,107.0,108.0,11.8,7000,9500,0.63,22210 E,22210 EK,50,60.0,79.0,5.5,3,1.1,57.0,-,83.0,1.0,0.24,2.8,4.2,2.8,-,-
50,90,28.0,107.0,108.0,11.8,-,3200,0.7, BS2-2210-2RS/VT143, BS2-2210-2RSK/VT143,50,58.1,82.3,6,3,1.1,57.0,58,83.0,1.0,0.24,2.8,4.2,2.8,-,-
50,110,27.0,159.0,166.0,18.6,5600,7500,1.35,21310 E,21310 EK,50,72.7,96.8,6,3,2.0,61.0,-,99.0,2.0,0.24,2.8,4.2,2.8,-,-
50,110,40.0,228.0,224.0,24.0,4800,6300,1.9,22310 E/VA405,-,50,63.9,91.9,6,3,2.0,61.0,-,99.0,2.0,0.37,1.8,2.7,1.8,85 g,28 g
50,110,40.0,228.0,224.0,24.0,4800,6300,1.9,22310 E,22310 EK,50,63.9,91.9,6,3,2.0,61.0,-,99.0,2.0,0.37,1.8,2.7,1.8,-,-
50,110,45.0,228.0,224.0,24.0,-,3000,2.1, BS2-2310-2RS/VT143,-,50,61.5,96.8,6,3,2.0,61.0,61,99.0,2.0,0.37,1.8,2.7,1.8,-,-
55,100,25.0,129.0,127.0,13.7,6300,8500,0.84,22211 E,22211 EK,55,65.3,88.0,6,3,1.5,64.0,-,91.0,1.5,0.24,2.8,4.2,2.8,-,-
55,100,31.0,129.0,127.0,13.7,-,2900,1.0, BS2-2211-2RS/VT143, BS2-2211-2RSK/VT143,55,63.5,92.0,6,3,1.5,63.5,63.5,91.0,1.5,0.24,2.8,4.2,2.8,-,-
55,120,29.0,159.0,166.0,18.6,5600,7500,1.7,21311 E,21311 EK,55,72.7,96.2,6,3,2.0,66.0,-,109.0,2.0,0.24,2.8,4.2,2.8,-,-
55,120,43.0,280.0,280.0,30.0,4300,5600,2.45,22311 E,22311 EK,55,70.1,102.0,5.5,3,2.0,66.0,-,109.0,2.0,0.35,1.9,2.9,1.8,-,-
55,120,43.0,280.0,280.0,30.0,4300,5600,2.45,22311 E/VA405,22311 EK/VA405,55,70.1,102.0,5.5,3,2.0,66.0,-,109.0,2.0,0.35,1.9,2.9,1.8,78 g,26 g
55,120,49.0,280.0,280.0,30.0,-,2800,2.8, BS2-2311-2RS/VT143,-,55,67.5,107.0,6,3,2.0,66.0,67,109.0,2.0,0.35,1.9,2.9,1.8,-,-
60,110,28.0,159.0,166.0,18.6,5600,7500,1.15,22212 E,22212 EK,60,72.7,96.5,6,3,1.5,69.0,-,101.0,1.5,0.24,2.8,4.2,2.8,-,-
60,110,34.0,159.0,166.0,18.6,-,2700,1.3, BS2-2212-2RS/VT143, BS2-2212-2RSK/VT143,60,69.7,101.0,6,3,1.5,69.0,69,101.0,1.5,0.24,2.8,4.2,2.8,-,-
60,130,31.0,217.0,240.0,26.5,4800,6300,2.1,21312 E,21312 EK,60,87.8,115.0,6,3,2.1,72.0,-,118.0,2.0,0.22,3.0,4.6,2.8,-,-
60,130,46.0,325.0,335.0,36.0,4000,5300,3.1,22312 E,22312 EK,60,77.9,110.0,8.3,4.5,2.1,72.0,-,118.0,2.0,0.35,1.9,2.9,1.8,-,-
60,130,46.0,325.0,335.0,36.0,4000,5300,3.1,22312 E/VA405,22312 EK/VA405,60,77.9,110.0,8.3,4.5,2.1,72.0,-,118.0,2.0,0.35,1.9,2.9,1.8,70 g,25 g
60,130,53.0,325.0,335.0,36.0,-,2500,3.4, BS2-2312-2RS/VT143,-,60,75.0,117.0,8.3,4.5,2.1,72.0,75,118.0,2.0,0.35,1.9,2.9,1.8,-,-
65,100,35.0,137.0,173.0,20.4,-,2600,0.95,24013-2RS5W/VT143,-,65,71.6,93.5,-,-,1.1,71.0,71,94.0,1.0,0.27,2.5,3.7,2.5,-,-
65,100,35.0,137.0,173.0,20.4,4300,6300,0.95,24013 CC/W33,24013 CCK30/W33,65,73.9,87.3,3.7,2,1.1,71.0,-,94.0,1.0,0.27,2.5,3.7,2.5,-,-
65,120,31.0,198.0,216.0,24.0,5000,7000,1.55,22213 E,22213 EK,65,80.1,106.0,6,3,1.5,74.0,-,111.0,1.5,0.24,2.8,4.2,2.8,-,-
65,120,38.0,198.0,216.0,24.0,-,2400,1.6, BS2-2213-2RS/VT143, BS2-2213-2RSK/VT143,65,76.5,110.0,6,3,1.5,74.0,76,111.0,1.5,0.24,2.8,4.2,2.8,-,-
65,140,33.0,243.0,270.0,29.0,4300,6000,2.55,21313 E,21313 EK,65,94.7,124.0,6,3,2.1,77.0,-,128.0,2.0,0.22,3.0,4.6,2.8,-,-
65,140,48.0,357.0,360.0,38.0,3800,5000,3.75,22313 E,22313 EK,65,81.6,118.0,8.3,4.5,2.1,77.0,-,128.0,2.0,0.35,1.9,2.9,1.8,-,-
65,140,48.0,357.0,360.0,38.0,3800,5000,3.75,22313 E/VA405,22313 EK/VA405,65,81.6,118.0,8.3,4.5,2.1,77.0,-,128.0,2.0,0.35,1.9,2.9,1.8,69 g,24 g
65,140,56.0,357.0,360.0,38.0,-,2400,4.15, BS2-2313-2RS/VT143,-,65,78.7,125.0,8.3,4.5,2.1,77.0,78,128.0,2.0,0.35,1.9,2.9,1.8,-,-
70,125,31.0,213.0,228.0,25.5,5000,6700,1.55,22214 E,22214 EK,70,83.0,111.0,6,3,1.5,79.0,-,116.0,1.5,0.23,2.9,4.4,2.8,-,-
70,125,38.0,213.0,228.0,25.5,-,2300,1.8, BS2-2214-2RS/VT143, BS2-2214-2RSK/VT143,70,80.1,116.0,6,3,1.5,79.0,80,116.0,1.5,0.23,2.9,4.4,2.8,-,-
70,150,35.0,291.0,325.0,34.5,4000,5600,3.1,21314 E,21314 EK,70,101.0,133.0,6,3,2.1,82.0,-,138.0,2.0,0.22,3.0,4.6,2.8,-,-
70,150,51.0,413.0,430.0,45.0,3400,4500,4.55,22314 E,22314 EK,70,90.3,128.0,8.3,4.5,2.1,82.0,-,138.0,2.0,0.33,2.0,3.0,2.0,-,-
70,150,51.0,413.0,430.0,45.0,3400,4500,4.55,22314 E/VA405,22314 EK/VA405,70,90.3,128.0,8.3,4.5,2.1,82.0,-,138.0,2.0,0.33,2.0,3.0,2.0,61 g,23 g
70,150,60.0,413.0,430.0,45.0,-,2100,5.1, BS2-2314-2RS/VT143,-,70,86.7,136.0,8.3,4.5,2.1,82.0,86,138.0,2.0,0.33,2.0,3.0,2.0,-,-
75,115,40.0,181.0,232.0,28.5,-,2300,1.55,24015-2RS5/VT143,-,75,81.8,106.0,6,3,1.1,81.0,81,109.0,1.0,0.28,2.4,3.6,2.5,-,-
75,115,40.0,181.0,232.0,28.5,3800,5300,1.55,24015 CC/W33,24015 CCK30/W33,75,84.2,100.0,5.5,3,1.1,81.0,-,109.0,1.0,0.28,2.4,3.6,2.5,-,-
75,130,31.0,217.0,240.0,26.5,4800,6300,1.7,22215 E,22215 EK,75,87.8,115.0,6,3,1.5,84.0,-,121.0,1.5,0.22,3.0,4.6,2.8,-,-
75,130,38.0,217.0,240.0,26.5,-,2200,2.1, BS2-2215-2RS/VT143, BS2-2215-2RSK/VT143,75,84.5,120.0,6,3,1.5,84.0,84,121.0,1.5,0.22,3.0,4.6,2.8,-,-
75,160,37.0,291.0,325.0,34.5,4000,5600,3.75,21315 E,21315 EK,75,101.0,133.0,6,3,2.1,87.0,-,148.0,2.0,0.22,3.0,4.6,2.8,-,-
75,160,55.0,462.0,475.0,48.0,3200,4300,5.55,22315 E,22315 EK,75,92.8,135.0,8.3,4.5,2.1,87.0,-,148.0,2.0,0.35,1.9,2.9,1.8,-,-
75,160,55.0,462.0,475.0,48.0,3200,4300,5.55,22315 EJA/VA405,22315 EKJA/VA405,75,92.8,135.0,8.3,4.5,2.1,87.0,-,148.0,2.0,0.35,1.9,2.9,1.8,88 g,23 g
75,160,64.0,462.0,475.0,48.0,-,2100,6.5, BS2-2315-2RS/VT143, BS2-2315-2RSK/VT143,75,89.9,140.0,8.3,4.5,2.1,87.0,89,148.0,2.0,0.35,1.9,2.9,1.8,-,-
80,140,33.0,243.0,270.0,29.0,4300,6000,2.1,22216 E,22216 EK,80,94.7,124.0,6,3,2.0,91.0,-,129.0,2.0,0.22,3.0,4.6,2.8,-,-
80,140,40.0,243.0,270.0,29.0,-,2000,2.4, BS2-2216-2RS/VT143, BS2-2216-2RSK/VT143,80,91.7,129.0,6,3,2.0,91.0,91,129.0,2.0,0.22,3.0,4.6,2.8,-,-
80,170,39.0,331.0,375.0,39.0,3800,5300,4.45,21316 E,21316 EK,80,106.0,141.0,6,3,2.1,92.0,-,158.0,2.0,0.24,2.8,4.2,2.8,-,-
80,170,58.0,516.0,530.0,54.0,3000,4000,6.6,22316 E,22316 EK,80,98.3,143.0,8.3,4.5,2.1,92.0,-,158.0,2.0,0.35,1.9,2.9,1.8,-,-
