Name,Werkstoff,z_Wert,Welle,beta_sigma,beta_tau,K_ges_sigma,K_ges_tau,sigma_bWK,tau_bWK,sigma_bFK,tau_tFK,sigma_bADK,tau_tADK,S_F,S_D,Biegespannung,Torsionsspannung,anderes
Absatz,42CrMo4,40,Testwelle,1.5286109229488496,1.267398536294216,1.797491878276123,1.4778050705358954,266.61397066191824,194.57361046648515,943.2056256410231,518.6285922523944,266.61397066191824,194.57361046648515,5.704113160413529,0.0,165.35534957245548,46.74065243169012,50.0;42.0;5;4.0
eine Passfeder,42CrMo4,40,Testwelle,2.9740194867524625,1.7661956148454423,3.45251744304759,2.0489390303785218,138.80782785465587,140.3369567745153,988.1201792429766,518.6285922523944,138.80782785465587,140.3369567745153,5.704113160413529,0.0,173.22941383781054,24.334690415677652,50.0
umlaufende Rundnut,42CrMo4,40,Testwelle,2.043060501605751,1.5380481784776219,2.3865483054931715,1.7877050449286354,200.80735252526725,160.8441330719221,988.1201792429766,518.6285922523944,200.80735252526725,160.8441330719221,5.704113160413529,0.0,173.22941383781054,35.203956667421615,10;1;2
zwei Passfedern,42CrMo4,40,Testwelle,3.445592138784583,1.7531399420051357,3.9924788175024606,2.0339899890782966,120.03481265795124,141.36837923678652,1033.0347328449297,518.6285922523944,120.03481265795124,141.36837923678652,5.704113160413529,0.0,181.10347810316551,21.043553885114214,50.0
umlaufende Spitzkerbe,42CrMo4,40,Testwelle,106.8408538771379,85.47268310171032,122.38239689222483,97.89476435427439,3.9158936176236407,2.9372548168077075,1033.0347328449297,518.6285922523944,3.9158936176236407,2.9372548168077075,5.704113160413529,0.0,181.10347810316551,0.6865034944958476,50.0
Keilwelle,42CrMo4,40,Testwelle,1.215600813887363,1.475363588497967,1.4390882092363904,1.7159297686977126,333.0139485709769,167.5720495006476,898.2910720390695,518.6285922523944,333.0139485709769,167.5720495006476,5.704113160413529,0.0,157.48128530710045,58.381371337807494,50.0
Kerbzahnwelle,42CrMo4,40,Testwelle,1.3116434174688223,1.4771467965975864,1.5490591670783997,1.7179715823869932,309.3725902049368,167.37288968443235,898.2910720390695,518.6285922523944,309.3725902049368,167.37288968443235,5.704113160413529,0.0,157.48128530710045,54.23675539117606,50.0
Zahnwelle,42CrMo4,40,Testwelle,1.234799117674362,1.3576265502962088,1.4610707021891924,1.5811181915256403,328.0035977599739,181.85981900720228,898.2910720390695,518.6285922523944,328.0035977599739,181.85981900720228,5.704113160413529,0.0,157.48128530710045,57.50299626527653,50.0
Pressverbindung,42CrMo4,40,Testwelle,2.6688758120370473,1.8354358480947321,3.103121019621571,2.128220666732438,154.43691814449116,135.10904796414985,988.1201792429766,518.6285922523944,154.43691814449116,135.10904796414985,5.704113160413529,0.0,173.22941383781054,27.07465889987621,50.0
umlaufende Rechtecknut,42CrMo4,40,Testwelle,2.4071372276161296,2.1366582205471047,2.8034244083300317,2.4731271101935857,170.9468054411434,116.26651414505758,988.1201792429766,518.6285922523944,170.9468054411434,116.26651414505758,5.704113160413529,0.0,173.22941383781054,29.969041748244408,2;1;3
