# Name,sigma_zdW (Zug-Druck-Wechselfestigkeit),sigma_bW (Biegewechselfestigkeit),tau_tW (Torsionswechselfestigkeit),Art,Cr-Ni-Einsatzstahl (0=nein;1=ja)
S235JR,140,180,105,Baustahl,0
S275J0,170,215,125,Baustahl,0
E295,195,245,145,Baustahl,0
S355J0,205,255,150,Baustahl,0
E335,235,290,180,Baustahl,0
E360,275,345,205,Baustahl,0
S275N,150,185,110,Baustahl,0
S355N,190,235,140,Baustahl,0
S420N,210,260,155,Baustahl,0
S460,220,275,165,Baustahl,0
C10E,200,250,150,Einsatzstahl,0
C15,300,375,225,Einsatzstahl,0
20Cr4,360,450,270,Einsatzstahl,0
21NiCrMo2,360,450,270,Einsatzstahl,1
17Cr3,320,400,240,Einsatzstahl,0
16MnCr5,400,500,300,Einsatzstahl,0
20MnCr5,480,600,360,Einsatzstahl,0
18MnCrS4,440,550,330,Einsatzstahl,0
18CrNiMo7-6,480,600,360,Einsatzstahl,1
31CrMo12,400,500,300,Nitrierstahl,0
31CrMoV9,400,500,300,Nitrierstahl,0
15CrMoV59,360,450,270,Nitrierstahl,0
34CrAlMo5,320,400,240,Nitrierstahl,0
34CrAlNi7,340,425,255,Nitrierstahl,0
1 C22,200,250,150,Vergütungsstahl,0
2 C22,200,250,150,Vergütungsstahl,0
1 C25,220,275,165,Vergütungsstahl,0
1 C30,240,300,180,Vergütungsstahl,0
1 C35,250,315,190,Vergütungsstahl,0
1 C40,260,325,200,Vergütungsstahl,0
1 C45,280,350,210,Vergütungsstahl,0
2 C45,280,350,210,Vergütungsstahl,0
1 C50,300,375,220,Vergütungsstahl,0
1 C60,340,425,250,Vergütungsstahl,0
46Cr2,360,450,270,Vergütungsstahl,0
41Cr4,400,500,300,Vergütungsstahl,0
34CrMo4,400,500,300,Vergütungsstahl,0
42CrMo4,440,550,330,Vergütungsstahl,0
50CrMo4,440,550,330,Vergütungsstahl,0
36CrNiMo4,440,550,330,Vergütungsstahl,0
30CrNiMo8,500,625,375,Vergütungsstahl,0
34CrNiMo6,480,600,360,Vergütungsstahl,0
9SMn28,205,255,150,Automatenstahl,0
9SMnPb28,205,255,150,Automatenstahl,0
9SMn36,215,270,160,Automatenstahl,0
9SMnPb36,215,270,160,Automatenstahl,0
15S10,200,250,150,Automatenstahl,0
10S20,195,245,145,Automatenstahl,0
10SPb20,195,245,145,Automatenstahl,0
35S20,235,295,175,Automatenstahl,0
35SPb20,235,295,175,Automatenstahl,0
45S20,275,345,205,Automatenstahl,0
45SPb20,275,345,205,Automatenstahl,0
60S20,310,390,235,Automatenstahl,0
60SPb20,310,390,235,Automatenstahl,0
